SO,2B,SF,Player
19,2,0,C Dunn
5,0,0,R Espinoza
6,0,0,C Iorg
58,8,2,L Ellis
29,4,0,J Sanchez
11,9,1,L Arzeno
13,5,0,J Morales
45,4,2,A Oliveras
16,6,1,L Bernardo
7,2,0,B Powell
49,5,0,G Toribio
22,8,1,D Rams
17,5,1,A Perez
0,0,0,L Tapia
7,0,0,J Paquette
36,5,0,C Jacobs
0,0,0,R Gonzalez
68,5,2,B Fuenmayor
0,0,0,D Martin
8,2,1,W Ibarra
5,3,0,R Del Campo
24,6,0,B Biela
12,4,0,J Tarnow
8,1,0,K Rucker
16,6,0,L De La Cruz
1,0,0,R Washington
0,0,0,C Gilliam
58,10,1,T Mattair
1,0,0,W Polo
2,2,0,P Dalton
21,13,0,D Blocker
3,0,0,N Morgan
1,0,0,C Blair
23,1,2,B Harrigan
20,3,1,K Denis-Fortier
22,4,0,B Buck
65,8,3,N Ray
1,1,0,V Buttler
27,6,0,J Nilsson
36,9,0,C White
5,1,0,A Schoenberger
19,4,0,C Rosero
9,0,2,C Kingrey
8,1,1,R Tolan
3,0,0,M Arambarris
14,3,2,R Santana
12,7,1,R Wehrle
17,2,1,R Nolan
1,1,0,C Haerther
38,7,3,R Hernandez
42,6,2,A De Castro
21,0,1,K Roque
26,4,0,D Mesoraco
44,6,2,A Morales
20,5,1,J Garcia
2,0,0,G Casanova
2,0,0,L Bond
24,5,0,B Greenwell
1,0,1,S Robinson
2,0,1,D Ivany
24,5,0,M McBratney
13,2,0,R Arias
6,0,0,F Martinez
7,3,1,J Stanley
12,2,1,P Maat
4,4,1,J Heyward
47,6,1,S King
0,0,0,R Fernandez
31,1,0,C Parra
0,1,0,C Duffy
58,17,1,L Sumoza
17,1,0,V Ramos
6,2,0,G Haran
40,5,2,J Tolisano
2,2,0,G Lombard
25,4,0,M Willard
37,6,0,C Guzman
2,0,0,A Rizzo
29,6,1,M McDade
7,0,0,C Bradley
57,2,1,K Miles
28,15,5,S Sime
8,4,1,G Gattis
31,6,0,G Rodriguez
3,3,0,K Harvey
1,0,0,J Jay
42,7,1,K Sanchez
39,8,2,R Burgos
1,1,0,S Choo
16,4,2,J Peley
34,10,0,K Bolt
21,9,0,D Winn
14,2,0,P Gilardo
20,0,1,J Garcia
5,3,0,J Tucker
29,3,0,W Lamont
17,0,0,M Cooney
50,12,1,J Chavez
15,1,1,G Manzanillo
1,1,0,A Romine
2,1,0,A Diaz
11,4,0,E Banks
23,3,0,D Lehrman
1,1,0,J Newman
21,2,0,C Rice
39,5,1,M Sierra
23,3,1,F Parejo
14,1,1,J DiGeronimo
20,3,0,B Blumenthal
30,2,0,D King
2,0,0,R Redden
52,9,0,C Ramirez
7,0,0,J Martin
66,8,1,R Lucas
57,16,3,F Murillo
28,5,1,Y Lopez
22,11,3,I Medrano
18,3,0,R Sanchez
62,7,1,E Eiland
