TRB%,eFG%,STL%,TOV%,Tm,ORtg,Date
9.5,.000,0.0,0.0,CHI,78,2007-01-15
2.1,.538,2.0,6.7,CHI,103,2006-11-25
8.9,.400,0.0,15.5,CHI,93,2007-02-22
15.1,1.000,12.2,0.0,CHI,230,2006-11-06
0.0,.000,0.0,0.0,CHI,0,2007-02-05
19.3,.500,0.0,25.8,CHI,89,2007-03-02
21.2,.600,0.0,16.7,CHI,103,2006-11-14
5.5,.200,0.0,0.0,CHI,47,2006-12-13
20.3,.500,5.9,0.0,CHI,98,2007-04-08
0.0, ,0.0, ,CHI, ,2007-02-14
7.9,.000,0.0,0.0,CHI,33,2007-01-25
0.0,.000,0.0,50.0,CHI,0,2007-03-26
5.4,.250,0.0,0.0,CHI,55,2007-02-23
25.0,.200,0.0,0.0,CHI,65,2007-03-29
10.3,.500,0.0,0.0,CHI,98,2006-11-03
6.6,.286,2.2,11.3,CHI,88,2007-04-06
16.2,.500,0.0,17.0,CHI,106,2007-04-15
6.3,.400,0.0,14.5,CHI,53,2007-01-05
12.0,.500,0.0,0.0,CHI,118,2007-02-20
9.1,.200,0.0,25.4,CHI,63,2006-11-21
13.2,.000,0.0,0.0,CHI,63,2006-12-26
0.0,.000,0.0,0.0,CHI,0,2006-11-24
6.2,1.000,0.0,33.3,CHI,124,2007-02-11
13.5,.333,3.8,0.0,CHI,95,2006-10-31
0.0,.500,0.0,0.0,CHI,122,2007-03-17
0.0,1.000,0.0,0.0,CHI,200,2007-03-31
0.0,.200,0.0,0.0,CHI,49,2007-02-13
12.1,.500,0.0,0.0,CHI,114,2006-11-09
7.7,.000,3.4,0.0,CHI,30,2007-02-03
29.5,.250,0.0,0.0,CHI,118,2006-12-04
0.0,.500,0.0,0.0,CHI,179,2007-04-01
7.9,.500,0.0,0.0,CHI,103,2007-04-04
12.5,.444,4.5,10.0,CHI,80,2007-01-08
0.0,.500,0.0,0.0,CHI,97,2006-12-19
