DRB,TOV,RPG,ORB,3PA,SPG,FG%
21.3,13.5,30.7,9.4,16.9,7.0,0.408
25.3,17.0,37.2,11.9,16.5,7.5,0.392
22.8,12.8,33.1,10.2,16.1,7.4,0.419
24.7,11.1,34.9,10.2,14.7,8.1,0.451
23.0,14.3,34.1,11.1,19.0,6.8,0.48
20.0,16.3,28.6,8.6,17.1,7.2,0.427
24.5,11.2,34.9,10.4,17.6,5.0,0.462
26.5,12.4,37.2,10.7,20.2,4.9,0.433
22.2,14.3,33.1,10.9,15.8,6.1,0.417
21.6,13.8,32.2,10.5,13.4,7.5,0.445
25.5,12.7,36.6,11.1,14.1,5.4,0.423
22.8,13.5,35.7,12.9,19.3,8.6,0.397
25.3,14.8,38.5,13.2,16.9,5.1,0.439
20.3,12.9,30.1,9.8,22.5,8.9,0.431
21.5,14.4,33.6,12.1,15.2,6.3,0.383
26.0,12.3,33.9,7.9,20.6,4.8,0.501
23.8,9.4,33.7,9.8,19.7,6.1,0.484
17.9,13.0,27.9,10.0,16.1,8.5,0.445
24.8,9.7,35.9,11.1,22.4,5.7,0.42
25.9,13.9,41.1,15.2,13.2,4.1,0.428
26.0,18.2,38.9,12.9,18.6,7.7,0.419
22.2,11.6,33.8,11.5,20.0,9.2,0.435
25.7,12.7,36.0,10.3,13.4,5.8,0.444
23.0,14.7,34.1,11.1,19.9,6.5,0.442
23.6,13.6,34.2,10.6,18.1,6.8,0.436
21.7,14.3,32.7,11.0,16.2,8.3,0.434
24.2,13.2,36.9,12.8,28.0,8.1,0.434
23.8,12.6,34.6,10.8,12.9,7.8,0.468
23.8,12.2,34.2,10.4,18.1,4.3,0.426
22.6,14.4,32.7,10.1,10.2,6.9,0.449
24.4,11.0,33.1,8.8,19.2,5.8,0.468
21.9,15.6,33.7,11.8,18.1,8.3,0.396
22.2,13.5,33.2,11.0,15.5,7.4,0.437
20.8,12.7,28.2,7.4,19.4,5.5,0.443
20.6,11.8,30.5,9.9,20.0,8.0,0.427
20.3,14.4,31.9,11.6,16.4,7.1,0.359
23.7,15.2,34.8,11.2,16.0,6.7,0.423
24.2,14.4,37.4,13.2,20.3,7.9,0.435
24.6,18.2,35.7,11.1,6.1,4.3,0.408
22.0,11.2,31.8,9.7,15.7,5.9,0.438
19.7,14.1,29.3,9.6,18.8,7.3,0.423
22.4,13.8,32.2,9.8,20.1,7.5,0.42
21.3,15.7,29.4,8.1,17.5,5.8,0.432
22.5,12.8,34.0,11.5,19.1,6.7,0.429
23.9,12.1,36.0,12.1,14.3,7.3,0.447
26.6,12.9,39.6,13.0,18.7,6.7,0.459
24.7,14.7,36.1,11.5,17.1,6.4,0.413
24.6,11.9,35.8,11.2,19.7,6.5,0.46
25.0,14.4,37.0,12.0,12.5,5.6,0.455
21.0,13.0,33.7,12.7,16.9,7.3,0.408
24.1,15.3,36.4,12.2,12.9,7.5,0.44
24.7,14.5,36.2,11.5,16.4,8.9,0.471
21.9,16.8,32.1,10.1,16.6,8.0,0.401
23.6,12.4,32.4,8.8,19.0,3.9,0.414
20.4,14.6,31.0,10.6,16.7,8.2,0.421
21.4,14.4,30.6,9.2,16.2,5.5,0.426
21.1,14.9,32.9,11.8,13.2,6.3,0.365
19.7,11.5,27.4,7.7,22.9,6.1,0.406
21.3,11.6,31.2,9.9,17.4,7.2,0.39
21.6,10.6,29.9,8.3,16.3,5.1,0.407
21.3,15.3,34.1,12.9,18.7,5.1,0.412
21.8,17.3,32.3,10.6,13.1,9.0,0.42
23.7,12.4,36.7,13.0,17.4,9.0,0.439
24.4,13.9,35.9,11.5,12.4,6.2,0.413
22.2,10.8,32.9,10.6,21.8,7.9,0.428
25.1,12.3,37.8,12.7,25.8,7.3,0.422
26.9,12.8,36.1,9.2,19.5,5.2,0.469
25.1,13.3,35.8,10.7,15.7,7.0,0.433
23.2,13.7,37.3,14.1,16.1,7.4,0.443
20.9,15.1,32.2,11.3,19.9,7.1,0.37
20.6,14.3,28.5,7.9,22.7,8.2,0.409
23.0,12.9,31.9,8.9,16.5,4.7,0.409
25.8,13.2,34.4,8.5,20.2,4.6,0.418
23.8,11.9,33.8,9.9,20.9,5.2,0.439
24.1,15.0,39.2,15.1,14.5,7.7,0.398
21.6,12.2,30.1,8.5,17.0,6.4,0.462
24.2,11.7,34.1,9.9,20.8,6.8,0.431
21.3,13.2,31.5,10.2,14.0,6.5,0.44
21.4,12.5,31.4,10.0,16.3,8.2,0.428
22.2,14.1,32.2,10.0,22.1,5.4,0.388
22.5,13.7,35.3,12.9,15.6,8.4,0.436
25.4,12.5,37.7,12.3,17.6,6.9,0.419
22.8,13.1,31.6,8.8,16.3,5.1,0.447
24.4,14.5,35.4,11.0,21.2,7.5,0.434
21.6,14.7,31.9,10.3,19.7,7.2,0.407
21.8,12.6,30.3,8.6,22.5,8.9,0.466
22.5,12.0,32.1,9.6,20.9,4.5,0.427
23.8,12.4,34.8,11.1,22.7,6.5,0.454
23.9,12.4,36.9,13.0,23.1,9.1,0.41
22.9,15.1,34.3,11.4,18.1,6.4,0.426
21.4,14.6,29.2,7.9,17.0,6.6,0.462
20.3,11.3,27.7,7.4,20.4,6.3,0.427
24.2,12.9,36.2,11.9,16.6,4.2,0.43
26.0,13.1,37.7,11.7,16.7,6.7,0.464
22.9,12.0,32.4,9.5,19.9,6.6,0.46
22.2,15.3,32.5,10.3,17.2,5.6,0.404
20.5,15.0,29.7,9.2,18.3,5.9,0.422
23.7,14.0,34.4,10.7,22.6,6.8,0.452
23.2,12.9,32.1,8.9,19.7,5.1,0.48
24.5,14.1,35.1,10.6,21.2,6.6,0.409
24.6,15.0,36.1,11.5,15.6,8.5,0.447
22.3,12.3,30.4,8.2,15.8,5.3,0.449
22.4,14.3,31.3,9.0,17.3,7.2,0.437
21.6,11.0,33.9,12.3,14.2,6.6,0.472
24.0,13.5,33.5,9.5,17.4,4.1,0.467
23.9,16.0,36.8,12.9,10.0,7.8,0.441
23.6,15.2,33.4,9.8,19.1,7.1,0.403
21.5,11.5,34.5,13.0,18.8,7.1,0.436
22.8,15.8,36.8,14.0,20.2,6.5,0.427
24.1,12.1,33.9,9.8,20.0,5.8,0.389
22.8,12.2,30.3,7.5,18.4,5.8,0.465
22.8,14.3,31.6,8.8,15.6,7.6,0.46
24.5,12.7,35.3,10.9,21.5,7.3,0.418
22.6,15.2,35.9,13.3,14.2,6.4,0.449
23.2,13.9,36.0,12.8,16.9,6.0,0.377
23.5,14.6,35.2,11.8,14.6,8.2,0.45
24.1,13.0,34.4,10.2,12.9,5.3,0.457
20.7,13.8,30.6,9.9,17.4,6.3,0.438
21.4,12.4,33.2,11.9,18.2,7.2,0.416
18.9,13.8,29.1,10.1,16.7,7.0,0.4
18.6,11.2,24.8,6.2,22.5,6.6,0.397
24.2,15.8,33.7,9.6,21.4,5.3,0.456
24.5,13.1,35.1,10.6,19.1,5.7,0.45
20.8,12.1,31.0,10.2,20.4,8.2,0.437
21.7,12.3,33.9,12.2,20.9,6.5,0.426
21.0,10.5,31.7,10.8,20.6,5.4,0.397
26.5,12.4,35.1,8.5,17.3,5.3,0.506
22.9,14.1,33.1,10.2,20.1,7.1,0.427
25.0,13.3,35.7,10.7,17.2,4.3,0.441
24.5,15.7,35.2,10.7,18.1,7.7,0.416
22.8,14.2,31.2,8.4,20.0,6.8,0.484
25.7,11.1,39.0,13.3,15.2,4.6,0.449
23.1,11.5,31.7,8.7,17.6,7.7,0.446
22.8,15.5,32.3,9.6,21.5,6.8,0.437
22.3,13.5,34.1,11.8,17.2,7.9,0.422
21.1,16.2,30.8,9.7,16.8,6.7,0.407
23.2,14.3,35.0,11.8,17.0,5.9,0.399
21.9,13.7,35.6,13.6,16.9,7.2,0.409
20.8,17.5,30.0,9.2,16.4,4.4,0.361
24.6,12.8,33.0,8.4,16.4,5.5,0.439
20.8,12.4,28.2,7.4,21.1,6.8,0.457
21.2,11.4,32.4,11.2,24.2,6.8,0.412
24.4,11.8,35.4,11.0,15.4,6.4,0.435
22.6,13.4,31.6,9.0,16.4,5.5,0.435
20.5,13.2,29.8,9.3,19.9,6.3,0.404
22.3,11.1,31.6,9.3,16.9,5.5,0.448
24.3,14.5,34.2,9.9,16.4,5.6,0.408
23.9,13.4,33.5,9.6,14.3,5.9,0.439
23.1,15.0,34.4,11.2,14.0,5.9,0.41
20.5,11.9,30.0,9.5,14.3,5.5,0.455
21.8,12.6,30.8,9.0,20.7,6.6,0.435
22.4,14.3,33.7,11.3,16.9,6.4,0.43
23.1,15.4,32.7,9.6,17.6,6.6,0.432
23.8,11.9,34.8,11.0,19.4,5.9,0.416
21.1,12.3,30.6,9.5,19.6,5.6,0.4
21.5,13.3,28.3,6.8,16.0,7.3,0.475
23.2,13.4,35.7,12.5,18.6,7.1,0.445
22.5,14.7,34.7,12.2,17.4,9.6,0.479
23.9,13.8,35.4,11.5,19.9,7.5,0.453
23.9,15.8,36.7,12.8,17.6,6.6,0.41
21.9,13.3,30.6,8.7,22.1,9.8,0.491
22.1,12.3,34.4,12.3,18.3,6.7,0.416
27.4,13.9,38.7,11.3,19.7,7.2,0.436
21.6,14.3,31.5,9.9,17.6,6.8,0.431
23.0,12.1,31.6,8.6,22.2,4.8,0.408
24.4,13.9,36.6,12.2,20.9,7.0,0.455
24.1,16.7,36.8,12.7,16.6,7.0,0.424
25.1,12.9,36.1,11.1,17.5,5.9,0.419
25.8,13.0,36.8,11.0,16.1,5.6,0.475
26.1,12.0,37.4,11.3,17.5,8.1,0.457
24.9,13.3,34.5,9.7,18.6,5.5,0.429
20.1,11.2,28.4,8.3,17.0,5.9,0.391
25.6,12.7,34.7,9.1,20.6,6.3,0.459
