AVG,AB,G,HR
0.217,92,26,1
0.28,118,30,5
0.27,163,41,8
0.277,65,26,0
0.133,15,4,0
0.439,98,26,3
0.331,356,93,26
0.295,363,123,9
0.336,232,58,2
0.356,104,28,1
0.321,190,56,3
0.293,167,46,6
0.298,406,123,14
0.31,493,128,28
0.258,325,87,12
0.246,69,19,3
0.234,384,126,16
0.25,8,2,0
0.336,420,120,22
0.5,4,1,0
0.298,429,117,23
0.143,14,4,0
0.28,25,8,0
0.278,259,78,7
0.281,381,105,4
0.197,61,17,0
0.429,14,4,0
0.297,428,124,11
0.281,306,91,5
0.288,66,19,0
0.278,18,5,2
0.317,492,133,12
0.231,13,4,0
0.247,364,103,10
0.307,140,35,9
0.239,205,62,6
0.3,434,130,12
0.429,7,3,0
0.332,244,63,8
0.368,193,48,24
0.275,171,45,14
0.272,81,21,4
0.331,456,129,38
0.309,165,49,8
0.267,315,107,2
0.159,44,19,1
0.303,66,18,2
0.217,92,25,3
