YEAR,Team,Lg,G,GS,IP,FRA,FRA+,TAv,oppAVG,oppOBP,oppSLG,oppTAv,BABIP,PPF,PVORP,PWARP,VORP,WARP
2009,KNC,A,9,9,36.0,4.95,88,0.264,0.26,0.326,0.381,0.26,0.346,100,2.4,0.3,2.4,0.3
2009,VAN,A-,1,1,4.0,2.34,149,0.157,0.256,0.331,0.322,0.251,0.222,100,1.5,0.2,1.5,0.2
2009,ATH,Rk,3,2,6.0,7.66,46,0.252,0.269,0.344,0.395,0.272,0.278,101,-0.1,-0.0,-0.1,-0.0
2010,KNC,A,17,16,96.3,4.42,104,0.236,0.259,0.337,0.384,0.26,0.295,101,12.9,1.3,12.9,1.3
2010,STO,A+,10,9,48.0,5.53,96,0.301,0.277,0.347,0.422,0.265,0.391,113,8.3,0.8,8.3,0.8
2011,STO,A+,26,24,137.0,4.9,103,0.26,0.282,0.346,0.435,0.276,0.323,99,23.1,2.3,23.1,2.3
2012,MID,AA,27,24,140.0,5.37,79,0.287,0.259,0.332,0.397,0.27,0.345,99,-0.5,-0.0,-0.5,-0.0
2013,MID,AA,26,25,150.0,5.11,90,0.261,0.256,0.316,0.395,0.261,0.303,107,5.1,0.6,5.1,0.6
2014,MID,AA,31,7,85.7,5.88,79,0.248,0.251,0.318,0.372,0.254,0.314,112,6.5,0.7,6.5,0.7
2015,DUN,A+,17,16,83.3,4.44,103,0.248,0.25,0.311,0.337,0.253,0.329,110,5.9,0.6,5.9,0.6
2015,NHP,AA,2,2,9.0,6.41,62,0.307,0.257,0.306,0.353,0.246,0.375,108,-1.0,-0.1,-1.0,-0.1
