Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
P Castellano,VER,DH,.081,13,37,0,3,0,0,0,0,1,10,0,0,1,0,5,.105,.081,0.186
K Garcia,TIG,RF,.281,90,331,52,93,10,1,20,76,30,82,5,1,0,6,6,.339,.498,0.837
D Reyes,MEX,P,--,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0.0
R Rivera,CDC,CF,.313,109,383,87,120,25,2,22,80,82,70,23,11,0,5,5,.439,.561,1.001
M Valdez,MEX,1B,.343,53,105,13,36,3,0,0,11,10,21,1,0,1,1,1,.397,.371,0.768
R Ramirez,MEX,P,--,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0.0
M Lopez,AGS,3B,.289,81,273,64,79,12,1,21,59,61,68,0,1,0,6,8,.419,.571,0.99
W Otanez,AGS,1B,.356,94,354,73,126,22,0,26,93,46,57,0,0,0,3,24,.437,.638,1.075
R Mateo,CDC,DH,.322,110,426,90,137,31,0,37,119,48,93,1,0,0,4,12,.410,.655,1.065
J Fernandez,MVA,1B,.396,27,96,16,38,5,0,4,18,10,9,2,0,0,0,3,.453,.573,1.026
R Cancel,MIN,C,.271,13,48,6,13,3,0,2,9,3,6,3,1,0,1,1,.308,.458,0.766
G Gil,OAX,1B,.306,91,288,45,88,15,0,12,44,18,44,0,1,7,4,8,.352,.483,0.835
D Clark,TIG,LF,.319,60,213,45,68,16,0,5,38,32,36,10,2,4,1,9,.416,.465,0.881
O Salazar,PUE,1B,.286,27,98,16,28,5,0,3,20,17,24,1,1,1,3,5,.381,.429,0.81
E Almonte,AGS,SS,.188,22,80,10,15,3,0,0,11,11,20,0,1,0,0,4,.286,.225,0.511
H Mateo,SAL,RF,.322,98,416,73,134,20,5,3,45,31,61,23,10,11,3,5,.376,.416,0.792
C Aldridge,MVA,OF,.228,25,92,15,21,2,0,3,14,15,45,0,1,0,0,1,.336,.348,0.684
A Berroa,YUC,2B,.293,105,409,88,120,25,4,12,62,41,75,3,3,2,3,14,.362,.462,0.825
B Broussard,MEX,1B,.304,19,69,11,21,4,0,2,11,3,17,0,0,2,1,1,.355,.449,0.805
A Amezaga,TIG,SS,.257,36,136,27,35,7,0,1,14,24,27,3,1,4,1,1,.366,.331,0.697
R Reyes,MEX,OF,.322,110,422,74,136,24,1,16,80,65,99,8,6,1,5,10,.410,.498,0.907
L Garcia,MTY,1B,.315,81,289,53,91,17,0,22,68,46,64,0,0,0,2,9,.410,.602,1.012
V Pascucci,REY,DH,.238,70,231,47,55,5,1,15,41,52,88,0,0,0,1,7,.392,.463,0.855
E Rogers,CAM,3B,.282,40,156,29,44,2,0,4,20,14,27,4,1,1,0,10,.356,.372,0.728
G Chacin,LAG,P,--,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0.0
J Thurston,YUC,OF,.291,105,398,73,116,25,2,7,60,58,69,12,8,6,3,6,.387,.417,0.804
L Terrero,MEX,OF,.388,76,273,72,106,14,1,27,72,30,60,14,5,1,3,4,.465,.744,1.209
M Valenzuela,MEX,OF,.303,57,152,24,46,10,0,5,23,15,41,0,0,1,1,5,.367,.467,0.834
A Amezcua,TIG,C,.294,81,235,36,69,21,0,10,42,34,45,1,1,3,2,10,.402,.511,0.913
J Cantu,TIG,1B,.270,83,300,64,81,11,0,31,71,42,66,2,0,0,3,7,.368,.617,0.984
M Jacobs,OAX,1B,.275,36,131,23,36,8,0,10,30,19,35,0,0,0,0,5,.367,.565,0.932
C Rivera,REY,1B,.303,105,396,63,120,15,0,15,53,35,59,0,0,1,5,13,.366,.455,0.82
J Castillo,PUE,2B,.369,102,420,87,155,29,4,25,108,27,41,6,2,0,7,24,.406,.636,1.042
E Alfonzo,MEX,C,.374,66,235,40,88,14,0,21,60,10,37,0,0,0,4,9,.406,.702,1.108
A Chavez,MVA,3B,.269,29,108,19,29,7,0,1,8,16,16,2,0,0,1,5,.360,.361,0.721
J Aceves,SAL,C,.246,72,236,27,58,11,0,11,39,26,48,0,0,1,2,9,.321,.432,0.753
O Robles,MEX,3B,.373,106,407,73,152,25,2,4,70,40,41,10,2,0,4,17,.430,.474,0.904
V Diaz,LAG,OF,.304,26,92,18,28,5,0,4,17,10,42,0,0,0,0,6,.385,.489,0.874
R Abercrombie,TAB,OF,.288,58,236,39,68,12,1,11,47,14,73,11,5,0,4,3,.336,.487,0.823
F Guzman,CDC,CF,.326,99,399,99,130,23,2,9,51,43,76,73,9,1,3,8,.394,.461,0.855
J Cota,SAL,OF,.261,109,421,66,110,20,2,16,65,54,90,4,0,3,4,15,.345,.432,0.777
J Guzman,SAL,1B,.250,38,144,15,36,1,0,5,15,15,29,1,0,0,0,6,.325,.361,0.686
H Hernandez,CAM,SS,.229,41,140,18,32,3,1,1,19,9,18,1,1,6,0,4,.275,.286,0.561
C Orrantia,AGS,2B,.294,104,350,57,103,28,1,10,49,25,71,18,4,6,3,10,.344,.466,0.81
C Roberson,MTY,CF,.362,60,235,47,85,11,4,13,43,26,24,9,9,2,3,3,.433,.609,1.042
J Botts,CAM,LF,.256,36,125,19,32,7,0,4,22,30,31,0,0,0,0,5,.408,.408,0.816
A Hernandez,CAM,SS,.295,66,244,44,72,11,0,11,41,29,36,12,1,4,3,1,.368,.475,0.844
J Owens,CAM,OF,.194,7,31,4,6,0,0,0,2,2,7,4,0,0,0,0,.242,.194,0.436
Y de Caster,MVA,1B,.342,71,266,46,91,18,0,10,52,26,34,5,4,0,4,16,.399,.523,0.922
S Adriana,VER,1B,.331,69,154,31,51,8,0,6,27,30,31,4,1,1,0,4,.446,.500,0.946
J Lindsey,CAM,DH,.302,54,189,45,57,8,0,20,43,25,51,0,0,0,2,3,.410,.661,1.071
F Rios,AGS,OF,.245,47,106,11,26,3,0,1,11,9,11,1,1,1,2,6,.305,.302,0.607
J Feliciano,VER,OF,.257,38,148,22,38,5,0,2,16,9,17,4,1,1,1,4,.302,.331,0.633
L Suarez,PUE,LF,.413,98,351,85,145,27,2,6,57,52,46,5,5,7,7,10,.484,.553,1.037
I Franco,TIG,C,.228,52,149,16,34,3,0,3,15,27,32,0,0,2,0,8,.347,.309,0.655
S Madera,PUE,DH,.390,106,426,85,166,28,3,19,92,36,60,1,3,0,2,20,.441,.603,1.045
J Gutierrez,REY,1B,.285,78,295,37,84,17,1,6,39,29,66,0,0,0,3,15,.357,.410,0.768
B Harper,MVA,1B,.125,4,16,1,2,0,0,0,0,5,6,0,1,0,0,2,.333,.125,0.458
F Valenzuela,YUC,1B,.346,104,379,53,131,26,2,5,56,33,40,1,2,3,4,13,.400,.464,0.864
W Castillo,LAG,C,.378,51,185,31,70,14,1,6,28,14,16,6,1,0,3,6,.419,.562,0.981
J Trejo,PUE,1B,.310,19,42,5,13,3,0,0,6,5,8,0,0,0,1,2,.400,.381,0.781
I Salas,SAL,2B,.267,44,150,20,40,13,1,3,22,13,27,1,0,6,3,7,.327,.427,0.754
J Castillo,REY,P,--,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0.0
S Moss,MEX,OF,.343,23,70,16,24,4,0,5,15,13,25,2,2,0,2,0,.442,.614,1.056
L Ramirez,TIG,P,--,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0.0
C Walker,YUC,CF,.267,50,202,31,54,8,4,1,24,26,46,12,6,5,2,4,.348,.361,0.709
I Terrazas,MEX,LF,.235,13,34,5,8,1,0,0,1,5,6,0,0,1,0,0,.350,.265,0.615
J Simmons,MVA,OF,.267,55,195,32,52,4,2,14,36,27,96,12,5,1,2,3,.356,.523,0.879
Y Angulo,OAX,LF,.325,105,351,77,114,29,1,16,64,23,77,2,5,8,5,4,.387,.550,0.937
J Lopez,MEX,SS,.276,108,366,54,101,17,3,6,44,26,54,6,6,16,2,13,.322,.388,0.71
D Hernandez,CAM,SS,.256,41,156,20,40,7,0,6,21,21,20,1,2,2,2,7,.348,.417,0.765
D Perales,MVA,OF,.256,23,82,11,21,3,1,3,9,8,18,1,4,2,0,2,.337,.427,0.764
J Chavez,VER,1B,.273,96,359,46,98,14,1,7,28,34,72,6,2,6,2,9,.338,.376,0.714
O Ramirez,MVA,LF,.281,58,167,22,47,16,0,4,22,14,39,1,1,3,1,9,.346,.449,0.795
R Mulhern,SAL,1B,.308,35,143,26,44,10,1,9,33,10,28,1,0,0,1,4,.375,.580,0.955
M Lisson,MIN,3B,.260,66,254,39,66,16,0,12,34,24,64,3,4,2,0,8,.345,.465,0.81
F Diaz,REY,LF,.360,112,442,75,159,29,2,21,83,35,66,3,0,0,1,30,.407,.577,0.984
C Herrera,AGS,SS,.185,21,27,2,5,1,0,0,3,0,6,0,0,0,0,4,.214,.222,0.437
B Lopez,AGS,1B,.309,71,181,29,56,11,0,14,49,26,51,0,1,0,1,5,.400,.602,1.002
M Young,CAM,CF,.286,22,91,10,26,5,0,2,10,7,14,5,0,0,0,2,.343,.407,0.75
B Burgamy,CAM,3B,.335,48,167,42,56,5,0,15,35,30,35,2,1,1,1,6,.440,.635,1.075
W Bankston,OAX,1B,.318,106,393,72,125,34,0,21,91,56,73,1,1,0,4,11,.409,.565,0.974
R Ruiz,VER,DH,.370,37,127,18,47,7,0,6,20,17,30,1,2,0,1,5,.453,.567,1.02
E Solis,MVA,SS,.208,31,77,8,16,2,0,1,9,8,28,0,1,1,0,2,.291,.273,0.563
R Acosta,TIG,3B,.310,95,326,51,101,15,1,13,61,31,56,7,4,6,2,10,.383,.482,0.865
G Mejia,CDC,2B,.295,110,427,88,126,18,7,6,55,56,90,36,10,13,4,8,.383,.412,0.795
M Leon,MTY,OF,.223,63,188,25,42,8,1,3,19,11,42,1,0,6,1,3,.303,.324,0.628
N Garcia,REY,3B,.242,43,95,7,23,4,1,1,10,3,18,1,0,2,1,3,.270,.337,0.607
S Gutierrez,YUC,C,.270,62,189,15,51,14,0,4,37,15,28,2,0,4,3,4,.329,.407,0.736
R Mendez,PUE,1B,.341,65,179,29,61,15,0,2,33,34,27,1,0,2,1,3,.444,.458,0.902
E Valdez,SAL,1B,.300,96,340,61,102,24,0,25,69,57,115,2,0,0,6,9,.406,.591,0.998
A Martinez,CAM,DH,.293,82,242,36,71,15,1,7,35,19,27,9,5,4,1,13,.356,.450,0.806
L Borges,YUC,SS,.312,104,391,60,122,23,0,1,30,28,42,7,5,10,1,10,.365,.379,0.743
R Saucedo,YUC,1B,.279,95,344,58,96,12,0,20,75,47,56,0,0,1,5,7,.369,.488,0.857
C Valle,PUE,C,.040,14,25,1,1,0,0,0,0,0,4,0,0,0,0,3,.040,.040,0.08
F Mendez,LAG,DH,.247,58,190,21,47,13,1,6,34,33,60,0,1,1,3,3,.360,.421,0.781
H Gomez,MTY,SS,.309,99,327,50,101,28,0,2,40,18,32,4,3,12,3,14,.351,.413,0.764
E Quintero,MTY,LF,.268,98,347,47,93,9,0,16,44,39,106,5,2,2,2,6,.340,.432,0.772
C Colmenares,VER,3B,.252,28,115,13,29,5,0,5,14,8,18,3,5,0,0,2,.301,.426,0.727
A Valdez,CDC,3B,.310,85,335,70,104,24,3,22,82,42,64,7,5,0,1,4,.388,.597,0.985
A Ahumada,MIN,3B,.295,92,325,44,96,17,2,3,41,31,61,4,4,6,1,6,.361,.388,0.749
J Vega,CDC,C,.270,69,237,36,64,11,1,11,43,24,64,3,1,4,2,6,.342,.464,0.806
S Soto,MVA,C,.286,88,301,45,86,17,0,18,58,45,69,0,0,0,1,7,.381,.522,0.903
F Arias,REY,2B,.263,100,335,31,88,13,1,3,48,11,23,0,4,11,5,7,.294,.334,0.628
E Espinoza,LAG,DH,.252,45,123,8,31,2,1,5,15,10,23,1,0,0,0,5,.328,.407,0.735
S Contreras,TIG,CF,.304,95,355,58,108,18,3,4,41,41,53,9,6,8,1,4,.382,.406,0.787
A Contreras,TIG,OF,.291,84,320,49,93,20,3,6,39,27,59,8,4,1,2,4,.355,.428,0.783
E Gutierrez,AGS,OF,.268,57,149,18,40,11,0,0,22,14,43,7,3,2,2,5,.335,.342,0.678
J Rosario,TAB,OF,.327,13,55,8,18,5,0,0,2,3,9,1,2,1,1,0,.356,.418,0.774
G Bustamante,CDC,C,.233,56,176,16,41,4,0,4,20,7,37,2,1,5,1,8,.273,.324,0.597
A Munoz,REY,C,.271,85,277,30,75,15,1,3,35,21,45,1,1,8,1,6,.323,.365,0.688
J Rivera,CAM,1B,.297,74,111,16,33,4,0,1,11,10,17,0,1,4,0,4,.355,.360,0.716
G Gutierrez,MEX,C,.257,16,35,5,9,4,0,0,4,2,5,1,0,2,0,1,.316,.371,0.687
W Dotel,TAB,OF,.283,15,60,8,17,0,0,2,8,7,22,6,2,3,1,0,.353,.383,0.736
R Sanchez,MVA,OF,.221,54,136,18,30,10,0,1,16,20,31,1,0,2,1,3,.352,.316,0.668
J Munoz,MVA,OF,.179,43,106,13,19,4,1,2,10,18,25,1,2,2,0,1,.304,.292,0.596
M Santana,TAB,C,.251,82,235,26,59,10,0,1,26,25,28,0,1,12,1,11,.330,.306,0.636
L Durango,VER,LF,.318,25,110,16,35,9,0,1,14,5,23,13,4,3,0,4,.353,.427,0.781
S Rodriguez,MVA,OF,.314,42,156,30,49,9,0,3,14,9,15,0,3,3,1,5,.361,.429,0.79
F Rivera,VER,C,.200,20,20,1,4,0,0,0,1,1,7,0,0,0,1,3,.261,.200,0.461
L Buelna,TAB,OF,.237,61,93,7,22,5,0,0,9,12,13,2,2,3,1,0,.333,.290,0.624
C Gastelum,TIG,2B,.320,108,462,80,148,16,5,4,48,26,59,3,4,7,2,23,.362,.403,0.764
C Gonzalez,SAL,SS,.226,59,115,30,26,6,0,1,9,7,30,1,0,4,0,1,.276,.304,0.581
R Aguirre,MIN,DH,.319,92,345,43,110,14,2,1,44,24,49,7,3,5,2,15,.365,.380,0.744
L Arauz,AGS,OF,.312,99,375,74,117,29,1,14,52,72,54,2,2,5,2,8,.426,.507,0.933
C Quintero,OAX,OF,.300,65,223,34,67,19,0,5,28,20,31,1,1,4,2,6,.355,.453,0.808
A Murillo,MTY,3B,.337,108,395,82,133,24,1,10,56,58,56,27,8,1,6,13,.427,.478,0.906
J Amador,AGS,DH,.320,107,353,59,113,20,0,23,69,50,59,3,4,1,5,12,.425,.572,0.997
G Andrade,SAL,C,.324,53,176,32,57,11,0,6,32,4,37,2,1,3,0,4,.357,.489,0.845
G Angulo,LAG,OF,.203,52,64,20,13,3,0,1,9,2,13,1,0,1,0,3,.227,.297,0.524
W Arano,AGS,OF,.256,30,39,5,10,2,0,0,3,6,4,0,0,1,1,0,.348,.308,0.656
H Arredondo,LAG,3B,.297,102,404,50,120,33,2,14,79,18,64,3,3,1,6,10,.327,.493,0.82
L Arredondo,YUC,OF,.326,61,178,25,58,5,3,2,17,11,28,8,6,3,0,2,.365,.421,0.786
J Brena,OAX,2B,.351,105,373,72,131,22,1,5,49,61,38,3,0,24,5,9,.445,.456,0.901
F Castaneda,MEX,P,--,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0.0
J Castaneda,VER,3B,.237,111,367,37,87,18,1,9,40,23,76,2,5,5,6,16,.289,.365,0.654
J Castillo,AGS,3B,.300,70,207,31,62,10,0,0,13,33,32,6,3,2,0,4,.401,.348,0.749
D Castro,REY,SS,.317,107,429,61,136,14,0,5,36,20,52,3,0,19,0,10,.353,.385,0.738
I Cervantes,TAB,SS,.284,107,391,40,111,17,0,2,35,23,65,2,6,9,4,12,.324,.343,0.667
R Cervantes,SAL,DH,.287,36,143,16,41,4,0,5,18,9,28,0,0,0,5,3,.331,.420,0.751
O De La Torre,TIG,OF,.268,67,220,22,59,15,0,2,31,14,45,3,3,0,5,6,.308,.364,0.672
P Diaz,SAL,3B,.336,32,116,12,39,8,0,2,16,3,25,0,1,1,1,3,.350,.457,0.807
F Esparragoza,REY,C,.354,61,175,24,62,10,0,2,23,10,24,0,4,4,3,5,.408,.446,0.854
J Espinoza,REY,OF,.310,57,84,7,26,3,0,0,9,9,13,0,0,0,0,1,.376,.345,0.722
K Flores,TIG,SS,.280,95,307,44,86,12,0,7,39,30,38,0,3,5,1,14,.351,.388,0.738
H Garanzuay,MVA,2B,.331,103,375,57,124,22,2,10,48,36,54,5,6,8,3,2,.389,.480,0.869
S Gastelum,MEX,2B,.340,81,250,42,85,23,0,5,41,24,32,0,1,4,3,11,.408,.492,0.9
S Gonzalez,LAG,CF,.291,104,398,67,116,38,2,20,81,18,41,4,2,3,8,8,.330,.548,0.878
J Guzman,VER,OF,.251,104,390,52,98,18,1,16,47,33,88,1,2,0,0,6,.316,.426,0.742
O Mendoza,AGS,2B,.273,104,348,43,95,17,0,7,40,43,64,2,5,9,3,16,.350,.382,0.732
O Morejon,LAG,2B,.383,111,473,83,181,36,1,9,66,14,25,8,2,3,4,16,.409,.520,0.929
N Munoz,SAL,C,.331,49,127,17,42,8,0,5,26,14,24,0,1,0,0,7,.397,.512,0.909
R Orantes,TAB,1B,.311,98,325,31,101,18,0,6,52,25,49,1,5,4,3,17,.368,.422,0.789
H Paez,YUC,C,.280,71,200,34,56,9,0,5,33,8,22,0,0,1,6,6,.324,.400,0.724
C Presichi,REY,1B,.320,113,441,70,141,30,0,14,67,26,58,8,4,3,4,26,.360,.483,0.843
C Rodriguez,AGS,C,.260,90,296,46,77,16,0,19,48,34,82,1,1,1,2,9,.346,.507,0.853
E Rodriguez,OAX,C,.273,84,271,28,74,13,0,3,43,17,22,2,0,9,2,6,.316,.354,0.67
L Rodriguez,VER,C,.253,44,99,10,25,1,0,1,9,6,14,0,0,2,0,1,.295,.293,0.588
E Salcedo,AGS,OF,.332,97,388,84,129,29,3,12,43,33,59,12,6,4,3,7,.382,.515,0.898
C Sievers,TIG,1B,.225,75,151,17,34,2,1,5,20,20,25,2,3,0,3,9,.322,.351,0.673
C Tapia,PUE,C,.345,98,357,63,123,25,3,11,80,27,37,5,2,2,10,23,.388,.524,0.912
M Torrero,YUC,3B,.281,66,178,25,50,5,1,2,10,17,19,2,1,4,0,7,.363,.354,0.717
A Valencia,TAB,OF,.255,78,235,28,60,12,1,9,40,20,60,1,1,2,0,12,.342,.430,0.772
C Valencia,MEX,2B,.324,103,386,76,125,27,2,20,66,20,63,1,4,2,5,8,.359,.560,0.919
J Valle,LAG,3B,.318,52,148,15,47,8,0,3,21,2,15,0,0,5,2,8,.331,.432,0.764
J Vazquez,TIG,1B,.290,62,224,28,65,10,0,10,43,14,61,2,0,0,3,9,.347,.469,0.816
F Villalobos,TAB,P,--,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,0.0
C Zazueta,SAL,LF,.277,99,394,42,109,14,0,8,42,5,74,8,5,4,2,12,.303,.373,0.676
D Hinojosa,MTY,OF,.247,67,166,24,41,8,0,1,16,14,41,9,3,4,3,5,.304,.313,0.618
