Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
Jeremy Gagnon-Lapare,MTL,M,2,0,18,0,0,0,0,0,0/0,0,0,0.0,0.0
Jeremy Hall,NE,D-M,6,5,478,0,0,0,0,0,0/0,0,0,0.0,0.0
Jermaine Jones,NE,D-M,10,9,697,0,0,6,1,0,0/0,0,0,0.0,0.0
Jerry Bengtson,NE,F,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
Jesse Gonzalez,DAL,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
Jimmy McLaughlin,PHI,M,1,0,1,0,0,0,0,0,0/0,0,0,0.0,0.0
Jimmy Medranda,KC,M,4,4,245,0,0,4,0,0,0/0,0,0,0.0,0.0
Jimmy Ockford,SEA,D,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0
JJ Koval,SJ,M,13,6,568,0,0,9,3,0,0/0,0,0,0.0,0.0
Joe Willis,HOU,GK,1,1,90,0,0,0,0,0,0/0,0,0,0.0,0.0
John Berner,COL,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
John McCarthy,PHI,GK,6,6,540,0,0,0,0,0,0/0,0,0,0.0,0.0
John Stertzer,RSL,M,14,6,530,1,0,3,2,1,0/0,1,0,0.17,33.3
Jon Busch,CHI,GK,7,7,630,0,0,0,0,0,0/0,0,0,0.0,0.0
Jon Kempin,KC,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
Jordan Hamilton,TOR,F,1,0,4,0,0,0,0,0,0/0,0,0,0.0,0.0
Jordan Harvey,VAN,D,16,15,1363,0,0,4,2,0,0/0,0,0,0.0,0.0
Joseph Bendik,TOR,GK,9,9,810,0,0,0,0,0,0/0,0,0,0.0,0.0
Joseph Greenspan,COL,D,2,2,180,0,0,0,0,0,0/0,0,0,0.0,0.0
Josh Ford,ORL,GK,0,0,0,0,0,0,0,0,0/0,0,0,0.0,0.0
Josh Saunders,NYC,GK,21,21,1890,0,0,0,0,0,0/0,0,0,0.0,0.0
Josh Williams,TOR,D,5,5,430,0,0,2,0,0,0/0,0,0,0.0,0.0
Jozy Altidore,TOR,F,15,13,1042,7,0,22,10,2,2/2,2,5,0.6,31.8
Justen Glad,RSL,D,5,5,445,0,0,3,1,0,0/0,0,0,0.0,0.0
Justin Mapp,MTL,M,1,1,86,0,0,3,2,0,0/0,0,0,0.0,0.0
