Player,Team,POS,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
M Alou,STL,LF,1.000,1,3,1,3,1,0,0,0,0,0,0,0,0,0,0,1.000,1.333,2.333
L Castillo,STL,2B,.067,5,15,1,1,0,0,0,0,4,0,0,0,1,0,0,.263,.067,.330
S Rolen,DUN,3B,.000,3,9,0,0,0,0,0,0,0,1,0,0,0,0,0,.000,.000,.000
G Sheffield,LAK,OF,.154,5,13,7,2,0,0,2,2,6,1,0,0,0,0,0,.421,.615,1.036
S Stewart,DUN,OF,.125,6,16,0,2,0,0,0,3,6,4,0,0,0,1,1,.348,.125,.473
J Valentin,STL,2B,.320,7,25,4,8,4,0,0,4,3,5,0,1,0,0,0,.393,.480,.873
R Castro,STL,C,.350,7,20,6,7,1,0,2,5,3,2,0,0,0,1,1,.417,.700,1.117
M Anderson,STL,OF,.231,4,13,0,3,0,0,0,0,1,3,0,0,0,0,0,.286,.231,.516
J Werth,CLR,CF,.167,2,6,0,1,0,0,0,0,1,3,0,0,0,0,0,.375,.167,.542
P Feliz,CLR,3B,.000,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,.250,.000,.250
C Pena,VER,1B,.000,1,4,0,0,0,0,0,1,1,0,0,0,0,0,0,.200,.000,.200
J McDonald,DUN,SS,.364,3,11,2,4,0,0,0,1,1,1,0,0,0,0,0,.417,.364,.780
B Wilkerson,DUN,RF,.455,3,11,4,5,3,0,1,1,1,2,0,0,0,0,0,.500,1.000,1.500
V Wells,DUN,CF,.500,2,8,3,4,0,0,0,4,0,3,0,0,0,0,0,.500,.500,1.000
R Cancel,STL,C,.143,4,14,1,2,0,0,0,1,1,1,1,0,0,0,0,.200,.143,.343
D Eckstein,DUN,SS,.143,5,14,4,2,1,0,0,0,2,1,0,0,0,0,0,.294,.214,.508
M Treanor,JUP,C,.313,5,16,7,5,1,0,1,5,6,3,0,0,0,1,1,.478,.563,1.041
A Everett,FTM,SS,.000,2,8,0,0,0,0,0,0,0,2,0,0,0,0,0,.000,.000,.000
J Rollins,CLR,SS,.000,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,.250,.000,.250
N Punto,FTM,3B,.250,3,12,0,3,0,0,0,1,1,1,1,0,0,0,0,.308,.250,.558
R Baldelli,VER,CF,.216,11,37,3,8,1,0,2,8,4,10,2,0,0,0,0,.310,.405,.715
C Snelling,CLR,OF,.143,4,14,4,2,0,0,0,1,3,2,0,0,0,0,0,.333,.143,.476
D Ross,SAR,C,.182,4,11,2,2,0,0,0,1,3,4,0,0,0,1,0,.333,.182,.515
S Victorino,CLR,OF,.400,2,5,1,2,0,0,0,1,2,1,0,1,0,0,0,.571,.400,.971
H Matsui,TAM,OF,.250,3,8,1,2,0,0,1,1,2,0,0,0,0,0,0,.400,.625,1.025
D Navarro,VER,C,.400,4,10,4,4,1,0,1,4,6,1,1,0,0,0,0,.667,.800,1.467
H Gimenez,VER,DH,.194,38,134,11,26,2,1,4,21,15,32,0,0,1,2,5,.272,.313,.585
W Aybar,VER,3B,.250,3,12,1,3,0,0,0,1,1,2,0,0,0,0,0,.308,.250,.558
J Gil,SAR,P,.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
M Rabelo,JUP,C,.200,8,30,2,6,2,0,0,1,2,8,0,0,0,0,1,.250,.267,.517
R Diaz,DUN,C,.320,6,25,3,8,1,0,1,3,0,0,0,0,0,0,1,.320,.480,.800
J Keppinger,SAR,SS,.286,2,7,1,2,0,0,0,1,0,0,0,0,0,0,0,.286,.286,.571
A Pagan,STL,OF,.000,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,.200,.000,.200
L Palmisano,BRE,DH,.306,19,72,8,22,2,0,2,8,5,11,0,1,0,0,3,.367,.417,.784
J Hermida,JUP,OF,.333,5,15,6,5,1,0,1,1,4,3,0,0,0,0,1,.474,.600,1.074
N Hopper,SAR,OF,.286,2,7,3,2,0,0,0,0,2,0,0,0,0,0,0,.444,.286,.730
V Mendez,STL,RF,.283,34,113,19,32,9,0,4,17,11,22,4,4,0,2,2,.352,.469,.821
M Stocker,BRE,LF,.323,40,155,27,50,7,3,0,7,10,17,19,6,3,1,4,.373,.406,.779
R Canzler,DAY,1B,.273,98,326,47,89,22,2,12,59,27,70,7,4,3,4,12,.327,.463,.790
