Age,DRtg,BLK%,GS
32-285,94,0.0,0
32-287,119,0.0,0
32-320,102,0.0,0
32-344,106,0.0,0
32-277,127,0.0,0
32-288,128,0.0,0
32-283,119,0.0,0
33-041,99,0.0,0
32-359,102,0.0,0
33-008,70,3.0,1
32-294,97,0.0,0
33-024,85,0.0,0
33-000,109,0.0,1
32-329,104,0.0,0
33-030,127,0.0,0
32-305,109,0.0,1
33-038,97,0.0,0
33-028,106,0.0,0
33-046,104,0.0,0
32-335,96,0.0,0
32-292,116,0.0,0
33-012,113,0.0,0
32-352,106,0.0,1
32-347,110,0.0,0
32-364,111,0.0,1
32-297,108,0.0,0
33-020,103,0.0,0
32-303,116,0.0,0
33-035,109,0.0,0
32-311,107,0.0,1
33-010,117,0.0,0
33-044,100,0.0,0
32-340,112,0.0,0
32-333,114,0.0,0
