avg,k,gdp,cs,h,ab,hbp,Opponent
0.313,5,0,0,12,30,0,TOWSON
0.287,7,0,0,7,30,1,OHIO
0.257,2,0,0,5,26,0,Marshall
0.286,5,0,0,6,26,0,Elon
0.287,3,1,0,2,17,0,Portland State
0.29,5,1,0,5,25,1,Baylor
0.262,4,0,0,4,23,2,TULSA
0.323,6,0,1,11,30,0,ST. JOHN'S
0.265,6,0,0,5,25,0,Southern Miss
0.265,8,0,0,1,16,1,NORTH CAROLINA
0.26,3,0,2,11,25,0,UTEP
0.248,2,0,0,8,27,0,NORTH CAROLINA STATE
0.313,7,0,0,5,21,0,GEORGETOWN
0.29,5,0,0,7,27,0,NOTRE DAME
0.262,4,0,0,8,32,0,UNC WILMINGTON
0.265,6,0,0,7,30,0,UAB
0.258,7,0,0,2,23,1,UCF
0.318,2,0,1,7,22,1,CLEVELAND STATE
0.296,4,0,1,11,30,0,North Carolina
0.29,5,0,0,11,33,0,Binghamton
0.268,2,0,1,10,31,2,Marshall
0.262,5,0,1,5,26,0,UAB
0.269,1,0,0,9,25,0,MEMPHIS
0.279,8,0,0,1,19,0,Hawaii
0.267,12,0,0,4,25,0,Hawaii
0.264,11,0,1,8,27,0,TULSA
0.256,9,0,0,2,23,0,UAB
