SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1998 - 1999,Skedvi/Säter,Division 3,22,7,2,13, , ,80,120,16,10,-
1999 - 2000,Skedvi/Säter,Division 2,22,9,0,13, , ,90,104,18,9,-
2000 - 2001,Skedvi/Säter,Division 2,12,6,1,5, , ,60,41,13,7,-
2001 - 2002,Skedvi/Säter,Division 2,18,11,3,4,-,-,101,61,25,4,-
2002 - 2003,Skedvi/Säter,Division 2,18,7,1,10,-,-,75,66,15,7,-
2003 - 2004,Skedvi/Säter,Division 2,18,10,0,8, , ,79,64,20,6,-
2004 - 2005,Skedvi/Säter,Division 3,16,14,0,2, , ,117,33,28,2,-
2005 - 2006,Skedvi/Säter,Division 3,18,17,1,0, , ,155,41,35,1,Promoted
2006 - 2007,Skedvi/Säter,Division 2,28,13,3,12, , ,124,108,29,6,-
2007 - 2008,Skedvi/Säter,Division 2,28,16,8,4, , ,130,75,40,2,Kval upp
 ,Skedvi/Säter,Kval Div.1,8,1,1,6,0,0,23,34,4,5,-
2008 - 2009,Skedvi/Säter,Division 2,26,17,4,5, , ,139,80,38,3,Kval upp
 ,Skedvi/Säter,Kval Div.1,8,5,-,3,0,0,39,39,15,3,-
2009 - 2010,Skedvi/Säter,Division 2,28,15,3,10, , ,142,83,33,5,-
2010 - 2011,Skedvi/Säter,Division 2,28,15,-,8,3,2,141,88,53,4,Kval upp
 ,Skedvi/Säter,Kval Div.1,8,4,-,4,0,0,24,30,12,3,-
2011 - 2012,Skedvi/Säter,Division 2,28,20,-,4,1,3,192,88,65,2,Kval upp
2012 - 2013,Skedvi/Säter,Division 2,33,26,-,5,2,0,197,74,82,1,Promoted
 ,Skedvi/Säter,Kval Div.1,6,4,-,2,0,0,17,13,12,2,Promoted
2013 - 2014,Skedvi/Säter,Division 1,27,1,-,24,1,1,56,150,6,10,-
 ,Skedvi/Säter,Division 1,15,2,-,12,1,0,36,76,8,6,Relegated
 ,Skedvi/Säter,Kval Div.1,8,0,-,8,0,0,11,44,0,5,Relegated
2014 - 2015,Skedvi/Säter,Division 2,28,9,-,13,1,5,93,95,34,7,-
2015 - 2016,Skedvi/Säter,Division 2,-,-,-,-,-,-,-,-,-,-,-
