Pitcher,Team,AB,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS
Madison Bumgarner,SF,21,7,1,0,0,0,5,6,0,0,0.333,0.462,0.381,0.842
Wade Miley,BOS,18,8,3,0,5,6,3,1,0,0,0.444,0.524,1.444,1.968
Jorge De La Rosa,COL,15,0,0,0,0,0,1,5,0,0,0.0,0.063,0.0,0.063
Eric Stults,LA,10,5,0,0,1,2,1,0,0,0,0.5,0.545,0.8,1.345
Patrick Corbin,AZ,8,1,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0.25
Cliff Lee,PHI,8,0,0,0,0,0,1,4,0,0,0.0,0.111,0.0,0.111
Mike Minor,ATL,8,0,0,0,0,0,0,4,0,0,0.0,0.0,0.0,0.0
Jon Niese,NY-N,7,2,1,0,0,0,1,2,0,0,0.286,0.375,0.429,0.804
Cole Hamels,PHI,6,3,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1.0
Tyler Matzek,COL,6,3,1,0,0,0,0,1,0,0,0.5,0.5,0.667,1.167
Tsuyoshi Wada,CHI-N,6,2,1,0,0,0,0,0,0,0,0.333,0.333,0.5,0.833
Tim Hudson,SF,6,1,0,0,0,0,0,1,0,0,0.167,0.167,0.167,0.333
Francisco Liriano,PIT,6,0,0,0,0,0,0,4,0,0,0.0,0.0,0.0,0.0
Chad Bettis,COL,5,3,0,0,0,0,0,1,0,0,0.6,0.6,0.6,1.2
Jhoulys Chacin,AZ,5,3,0,0,0,0,1,1,0,0,0.6,0.667,0.6,1.267
Carlos Torres,NY-N,5,2,1,0,0,0,0,1,0,0,0.4,0.4,0.6,1.0
C.J. Wilson,ANA,5,2,2,0,0,2,0,1,0,0,0.4,0.5,0.8,1.3
Paul Maholm, ,5,1,0,0,1,1,1,1,0,0,0.2,0.333,0.8,1.133
Nick Masset, ,5,1,0,0,0,1,1,3,1,0,0.2,0.286,0.2,0.486
Alex Wood,ATL,5,0,0,0,0,0,2,0,0,0,0.0,0.286,0.0,0.286
Eddie Butler,COL,4,2,1,0,0,2,1,1,1,0,0.5,0.6,0.75,1.35
Tom Koehler,MIA,4,2,1,0,1,1,0,0,0,0,0.5,0.5,1.5,2.0
Franklin Morales,KC,4,2,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1.0
Rob Scahill,PIT,4,2,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0
Jeremy Affeldt,SF,4,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5
Josh Collmenter,AZ,4,1,0,0,1,2,0,0,0,0,0.25,0.25,1.0,1.25
Gio Gonzalez,WAS,4,1,0,0,0,0,1,1,0,0,0.25,0.4,0.25,0.65
Matt Belisle,STL,4,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0
Joe Kelly,BOS,4,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0
Carlos Martinez,STL,4,0,0,0,0,0,1,3,0,0,0.0,0.2,0.0,0.2
Juan Nicasio,LA,4,0,0,0,0,0,1,3,0,0,0.0,0.2,0.0,0.2
Wily Peralta,MIL,4,0,0,0,0,1,1,1,0,0,0.0,0.2,0.0,0.2
Brad Ziegler,AZ,4,0,0,0,0,0,1,0,0,0,0.0,0.2,0.0,0.2
Odrisamer Despaigne,SD,3,2,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.333
Jon Garland, ,3,2,1,0,0,0,0,1,0,0,0.667,0.667,1.0,1.667
Jean Machi,BOS,3,2,0,0,0,0,0,1,0,0,0.667,0.667,0.667,1.333
Wandy Rodriguez,TEX,3,2,1,0,1,2,0,0,0,0,0.667,0.667,2.0,2.667
Dale Thayer,SD,3,2,0,0,0,0,1,0,0,0,0.667,0.75,0.667,1.417
Homer Bailey,CIN,3,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
Enrique Burgos,AZ,3,1,0,0,0,2,0,2,0,0,0.333,0.333,0.333,0.667
Steve Cishek,STL,3,1,0,0,1,3,0,1,0,0,0.333,0.333,1.333,1.667
Yohan Flande,COL,3,1,0,0,0,0,1,0,0,0,0.333,0.5,0.333,0.833
Zack Greinke,LA,3,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
Will Harris,HOU,3,1,1,0,0,1,0,0,0,0,0.333,0.333,0.667,1.0
Jeremy Hellickson,AZ,3,1,0,0,0,1,0,1,0,0,0.333,0.333,0.333,0.667
Jair Jurrjens,COL,3,1,0,0,1,3,0,1,1,0,0.333,0.333,1.333,1.667
Ian Kennedy,SD,3,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.667
Vidal Nuno,SEA,3,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0.667
Yusmeiro Petit,SF,3,1,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.0
Kevin Quackenbush,SD,3,1,0,0,0,0,1,2,0,0,0.333,0.5,0.333,0.833
Chris Rusin,COL,3,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
Johan Santana, ,3,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667
