Pos Summary,Name,Rpos,162WL%,dWAR
1,Dan Haren,8,.507,0.0
1,Barry Enright,5,.501,0.0
/1,Kris Benson,1,.500,0.0
*5/3,Mark Reynolds,2,.492,-0.6
/1,Zach Kroenke,0,.500,0.0
7/3,Brandon Allen*,-1,.501,0.0
*9/D,Justin Upton,-5,.500,-0.4
*79/8,Gerardo Parra*,-4,.496,0.8
1,J.C. Gutierrez,0,.500,0.0
1,Rodrigo Lopez,10,.496,0.0
1,Carlos Rosa,0,.500,0.0
/1,Daniel Stange,0,.500,0.0
73/5D,Rusty Ryal,-3,.494,-0.3
1,Bob Howry*,0,.500,0.0
*8,Chris Young,3,.522,2.2
/1,Billy Buckner,1,.500,0.0
1,Sam Demel,0,.500,0.0
7/98,Cole Gillespie,-1,.493,-0.6
564/D,Tony Abreu#,1,.488,-0.1
1,Esmerling Vasquez,1,.500,0.0
1,Mike Hampton,0,.500,0.0
