oppAVG,OBP,oppOPS,oppSLG,#,AVG,G,LG,NAME,LVL
0.252,0.344,0.7,0.39,133.0,0.262,20,NL,Jacob Turner,MLB
0.256,0.26,0.723,0.402,76.0,0.223,68,AL,Tommy Hunter,MLB
0.256,0.314,0.726,0.408,80.0,0.253,33,AL,Jon Lester,MLB
0.255,0.316,0.733,0.411,178.0,0.274,22,AL,Aaron Harang,MLB
0.256,0.295,0.722,0.404,68.0,0.214,76,AL,Tanner Scheppers,MLB
0.256,0.313,0.721,0.404,54.0,0.259,33,AL,Derek Holland,MLB
0.254,0.346,0.721,0.401,134.0,0.284,26,AL,Jason Hammel,MLB
0.248,0.327,0.696,0.388,47.0,0.252,33,NL,Lance Lynn,MLB
0.248,0.294,0.702,0.39,10.0,0.259,32,NL,Kyle Lohse,MLB
0.257,0.338,0.726,0.407,63.0,0.261,29,AL,Felix Doubront,MLB
0.258,0.313,0.728,0.407,122.0,0.277,22,AL,John Danks,MLB
0.249,0.306,0.697,0.388,166.0,0.261,18,NL,Ricky Nolasco,MLB
0.256,0.317,0.716,0.399,141.0,0.239,32,AL,Ubaldo Jimenez,MLB
0.25,0.248,0.687,0.38,161.0,0.209,26,NL,Matt Harvey,MLB
0.256,0.321,0.727,0.409,77.0,0.275,30,AL,Andy Pettitte,MLB
0.248,0.354,0.686,0.379,12.0,0.284,18,NL,Jonathan Pettibone,MLB
0.257,0.324,0.725,0.405,124.0,0.241,18,AL,Brad Peacock,MLB
0.253,0.359,0.706,0.391,144.0,0.257,20,NL,Jason Marquis,MLB
0.262,0.236,0.735,0.411,136.0,0.177,75,NL,Kenley Jansen,MLB
0.254,0.326,0.714,0.396,143.0,0.257,24,AL,Zach Mcallister,MLB
0.248,0.341,0.683,0.378,55.0,0.28,26,NL,Paul Maholm,MLB
0.252,0.357,0.713,0.399,145.0,0.317,28,AL,Joe Blanton,MLB
0.258,0.292,0.73,0.409,175.0,0.226,23,AL,Chris Archer,MLB
0.253,0.329,0.709,0.393,67.0,0.281,33,AL,Doug Fister,MLB
0.254,0.295,0.706,0.392,140.0,0.216,70,AL,Bryan Shaw,MLB
0.26,0.354,0.736,0.414,105.0,0.297,31,AL,Dallas Keuchel,MLB
0.258,0.35,0.731,0.411,117.0,0.285,27,AL,Jordan Lyles,MLB
0.261,0.367,0.74,0.415,181.0,0.311,22,AL,Brandon Maurer,MLB
0.248,0.333,0.691,0.383,138.0,0.261,29,NL,Tom Koehler,MLB
0.258,0.382,0.728,0.407,87.0,0.289,36,AL,Lucas Harrell,MLB
0.251,0.327,0.7,0.388,158.0,0.243,17,NL,Zack Wheeler,MLB
0.255,0.291,0.71,0.394,83.0,0.249,48,AL,Anthony Swarzak,MLB
0.249,0.322,0.692,0.385,61.0,0.261,33,NL,Wade Miley,MLB
0.251,0.316,0.703,0.388,149.0,0.262,29,AL,Scott Kazmir,MLB
0.251,0.296,0.696,0.388,15.0,0.24,32,NL,Patrick Corbin,MLB
0.244,0.373,0.688,0.385,51.0,0.293,21,NL,Jake Westbrook,MLB
0.249,0.315,0.692,0.385,126.0,0.26,24,NL,Jeremy Hefner,MLB
0.256,0.289,0.729,0.408,147.0,0.237,24,AL,Jered Weaver,MLB
0.254,0.254,0.714,0.399,95.0,0.198,32,AL,Max Scherzer,MLB
0.245,0.327,0.696,0.389,173.0,0.291,20,NL,Kevin Slowey,MLB
0.252,0.276,0.707,0.392,9.0,0.234,71,NL,Brandon Kintzler,MLB
0.249,0.308,0.706,0.392,104.0,0.247,70,AL,Nate Jones,MLB
0.256,0.3,0.722,0.403,109.0,0.243,30,AL,Miguel Gonzalez,MLB
0.258,0.306,0.727,0.408,64.0,0.242,34,AL,R.a. Dickey,MLB
0.258,0.29,0.723,0.406,65.0,0.247,29,AL,John Lackey,MLB
0.246,0.331,0.685,0.379,13.0,0.285,30,NL,Kyle Kendrick,MLB
0.254,0.344,0.702,0.389,31.0,0.268,21,NL,Ian Kennedy,MLB
0.26,0.325,0.729,0.408,162.0,0.274,32,AL,Jeremy Hellickson,MLB
0.247,0.339,0.686,0.378,142.0,0.261,20,NL,Charlie Morton,MLB
