3B,H,G,OPS
0,2,5,.508
1,10,14,.895
4,75,92,.645
4,98,129,.684
0,47,73,.543
0,7,9,.664
1,14,22,.525
0,2,1,1.000
0,0,1,.000
0,36,63,.605
3,133,123,.745
0,3,9,.300
0,47,44,1.034
0,0,1,.200
0,19,26,.653
0,17,20,.771
0,30,41,.623
3,42,42,.739
0,0,1,.000
2,32,35,.776
0,29,24,.967
0,6,14,.478
0,6,18,.403
0,2,4,.515
0,49,32,.978
2,44,48,.726
0,5,7,.701
2,49,46,.868
3,98,89,.743
0,71,74,.679
2,69,76,.665
0,0,5,.111
0,123,124,.714
4,49,68,.612
0,8,11,.715
0,16,26,.679
3,108,116,.699
0,11,28,.406
8,104,111,.689
1,22,20,.916
0,42,61,.507
1,40,48,.688
0,10,24,.413
0,0,1,.000
0,22,19,.784
2,98,115,.685
0,2,2,.571
0,103,119,.613
1,59,75,.658
5,84,76,.868
3,113,118,.691
0,2,2,.971
0,31,39,.703
0,15,17,.897
0,0,1,--
0,5,3,1.500
1,9,12,.692
1,26,23,.814
0,3,7,.478
0,3,3,.558
0,4,7,.422
0,0,3,.000
1,12,10,.784
0,11,24,.505
3,44,55,.685
2,30,38,.577
0,1,4,.200
2,62,67,.795
0,46,59,.734
2,124,123,.635
1,10,13,.668
0,15,28,.537
0,5,5,.786
1,61,91,.609
1,31,27,.878
1,24,40,.555
0,5,5,1.041
1,19,35,.560
0,2,7,.269
0,97,76,.906
0,1,4,.384
0,0,1,.000
1,46,70,.552
1,43,33,.774
0,0,1,--
1,61,93,.589
3,82,93,.672
11,127,127,.763
0,0,1,.250
0,0,6,.176
2,65,63,.873
3,66,92,.561
2,84,91,.682
0,0,1,--
7,96,99,.734
0,3,4,.516
0,1,3,.273
5,83,106,.608
3,85,91,.570
1,94,98,.630
0,20,19,.788
0,68,77,.716
2,82,82,.700
0,3,1,2.333
1,65,83,.747
4,115,107,.700
1,42,31,.748
1,13,32,.386
2,88,104,.724
0,6,25,.403
0,19,28,.486
3,33,50,.563
4,71,85,.730
0,110,121,.585
1,7,9,.899
0,1,5,.330
2,85,86,.734
0,6,8,.517
1,77,102,.663
0,9,8,.909
0,1,2,.286
0,14,20,.510
3,79,91,.626
1,69,64,.843
0,5,5,1.074
0,18,21,.544
0,2,4,.476
0,59,73,.611
0,0,1,.000
0,10,18,.606
0,89,84,.798
0,30,44,.556
2,110,132,.698
1,79,80,.785
0,0,0,--
0,2,3,1.025
1,26,38,.575
3,50,40,.779
0,3,9,.336
0,6,14,.438
0,3,3,.558
3,74,60,.921
1,162,130,.896
0,0,2,.000
0,0,1,.000
0,2,6,.473
0,0,1,--
0,4,4,1.467
0,9,15,.656
0,4,6,.769
0,4,12,.375
1,61,80,.590
0,13,19,.578
0,18,44,.579
0,30,42,.639
5,92,121,.677
3,143,124,.843
0,35,59,.652
0,0,1,--
0,62,86,.521
0,2,4,.343
0,28,24,.807
1,104,125,.603
2,60,71,.714
1,25,32,.661
2,126,106,.959
0,40,48,.679
0,13,15,.750
0,1,2,.750
4,79,86,.772
