BATTING,Team,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS
2007,NYY,12,15,14,3,1,0,0,0,1,0,1,1,1,0.071,0.133,0.071,0.204
2008,NYY,28,58,52,4,9,2,0,0,1,0,0,4,8,0.173,0.232,0.212,0.444
2008,WSH,17,54,49,9,17,6,0,1,9,0,1,4,6,0.347,0.407,0.531,0.938
2008,Total,45,112,101,13,26,8,0,1,10,0,1,8,14,0.257,0.318,0.366,0.684
2009,WSH,105,316,291,31,77,16,3,1,33,1,1,14,27,0.265,0.299,0.351,0.65
2010,WSH,114,198,186,19,46,8,1,0,5,0,0,7,30,0.247,0.277,0.301,0.578
2011,SD,102,267,247,18,53,10,2,1,32,1,2,13,37,0.215,0.256,0.283,0.539
2012,TEX,24,55,54,7,13,2,1,0,4,0,0,0,9,0.241,0.241,0.315,0.556
2013,NYY,13,34,34,3,6,1,0,0,4,0,0,0,6,0.176,0.176,0.206,0.382
2013,CHC,11,26,23,3,5,1,0,1,2,0,0,2,6,0.217,0.269,0.391,0.66
2013,Total,24,60,57,6,11,2,0,1,6,0,0,2,12,0.193,0.217,0.281,0.498
Career, ,426,1023,950,97,227,46,7,4,91,2,5,45,130,0.239,0.275,0.315,0.59
