Date,Opponent,Score,s,k,e,ta,pct,a,sa,se,re,digs,bs,ba,be,tot,bhe,pts
Aug 31,vs. Immaculata,"W, 3-2",5,6,0,7,0.857,31,0,1,0,16,0,1,0,1,1,6.5
Aug 31,at Penn St.-Abington,"W, 3-0",3,4,0,5,0.8,24,0,1,0,1,2,0,0,2,1,6.0
Sep 4,York (Pa.),"L, 3-1",4,3,2,10,0.1,24,2,0,0,8,0,1,0,1,0,5.5
Sep 6,at Hood,"W, 3-0",3,4,2,11,0.182,25,0,1,0,11,0,1,0,1,0,4.5
Sep 11,at Notre Dame (Md.),"L, 3-2",5,5,2,17,0.176,23,2,0,0,8,0,0,1,0,2,7.0
Sep 14,Muhlenberg,"L, 3-0",3,1,0,6,0.167,19,1,1,1,3,0,0,0,0,1,2.0
Sep 14,Goucher,"W, 3-0",3,3,0,8,0.375,20,0,0,0,6,0,3,1,3,0,4.5
Sep 18,at Goucher,"W, 3-0",3,4,0,11,0.364,23,1,2,0,10,0,2,1,2,1,6.0
Sep 21,at Bryn Mawr,"W, 3-2",5,4,3,22,0.045,29,0,0,1,10,0,0,0,0,0,4.0
Sep 21,vs. Gwynedd Mercy,"W, 3-0",2,1,2,7,-0.143,5,0,0,0,1,0,0,0,0,1,1.0
Sep 26,Hood,"W, 3-0",3,4,3,12,0.083,22,1,3,0,2,0,1,0,1,0,5.5
Sep 28,at Ursinus,"W, 3-2",5,3,0,11,0.273,22,5,1,1,13,0,1,0,1,1,8.5
Sep 28,vs. Penn St.-Harrisburg,"W, 3-0",3,3,0,10,0.3,21,0,0,0,4,0,0,0,0,0,3.0
Oct 2,Dickinson,"W, 3-0",3,4,0,11,0.364,15,1,0,0,6,0,0,0,0,0,5.0
Oct 5,vs. Rutgers-Newark,"W, 3-0",2,2,1,3,0.333,10,0,1,0,6,0,0,0,0,1,2.0
Oct 5,at Penn St.-Altoona,"L, 3-2",5,1,2,11,-0.091,18,3,0,0,12,0,1,0,1,2,4.5
Oct 8,Franklin & Marshall,"L, 3-0",3,0,2,8,-0.25,19,1,0,0,8,0,3,0,3,0,2.5
Oct 10,at York (Pa.),"W, 3-1",4,4,0,14,0.286,19,2,0,0,12,0,0,0,0,0,6.0
Oct 12,Swarthmore,"W, 3-0",3,4,0,16,0.25,28,1,1,0,15,0,2,0,2,1,6.0
Oct 12,Trinity (D.C.),"W, 3-0",3,0,0,1,0.0,21,4,2,0,2,0,0,0,0,0,4.0
Oct 17,Haverford,"W, 3-1",4,3,1,16,0.125,29,1,0,0,20,0,0,0,0,0,4.0
Oct 23,at Johns Hopkins,"W, 3-1",4,1,0,7,0.143,17,0,0,2,5,0,1,0,1,1,1.5
Oct 26,at Washington (Md.),"W, 3-1",4,0,0,7,0.0,21,2,1,1,20,0,0,1,0,2,2.0
Oct 30,Notre Dame (Md.),"W, 3-0",3,2,0,3,0.667,14,2,1,0,3,0,1,0,1,0,4.5
Nov 2,at Gettysburg,"L, 3-2",5,1,1,7,0.0,20,1,1,1,12,0,1,0,1,0,2.5
Nov 9,vs. Muhlenberg,"L, 3-1",4,4,0,14,0.286,23,1,0,0,4,0,0,0,0,1,5.0
Nov 16,at Bethany (W.V.),"L, 3-0",3,2,3,8,-0.125,11,0,0,0,10,0,0,0,0,0,2.0
Nov 16,vs. Grove City,"L, 3-0",3,1,1,12,0.0,12,2,1,1,7,0,0,0,0,0,3.0
