PPF,oppTAv,AGE,AVG,YEAR,oppSLG,oppAVG,SLG,oppOBP
104,0.254,27,0.232,2013,0.385,0.25,0.346,0.309
97,0.258,34,0.257,2013,0.391,0.253,0.426,0.315
98,0.254,27,0.268,2013,0.392,0.253,0.423,0.311
96,0.267,27,0.252,2013,0.408,0.257,0.379,0.318
101,0.265,24,0.272,2013,0.398,0.253,0.427,0.318
101,0.253,37,0.245,2013,0.387,0.246,0.363,0.307
96,0.255,27,0.244,2013,0.39,0.252,0.387,0.313
96,0.253,25,0.223,2013,0.377,0.246,0.325,0.309
97,0.268,30,0.237,2013,0.408,0.256,0.382,0.321
98,0.258,29,0.224,2013,0.399,0.255,0.314,0.314
100,0.253,29,0.234,2013,0.391,0.252,0.355,0.31
103,0.257,36,0.258,2013,0.395,0.253,0.442,0.311
97,0.264,32,0.317,2013,0.399,0.252,0.547,0.314
97,0.251,29,0.261,2013,0.378,0.247,0.344,0.308
97,0.247,26,0.281,2013,0.374,0.244,0.398,0.302
97,0.26,25,0.216,2013,0.392,0.254,0.291,0.314
96,0.263,30,0.276,2013,0.397,0.252,0.426,0.313
101,0.266,36,0.256,2013,0.407,0.257,0.435,0.318
95,0.251,24,0.209,2013,0.38,0.25,0.282,0.307
101,0.261,29,0.229,2013,0.393,0.25,0.33,0.313
100,0.273,28,0.277,2013,0.418,0.261,0.415,0.324
101,0.265,24,0.219,2013,0.398,0.253,0.336,0.316
102,0.256,31,0.248,2013,0.392,0.25,0.356,0.311
104,0.249,23,0.196,2013,0.382,0.244,0.368,0.302
99,0.268,22,0.285,2013,0.411,0.258,0.451,0.32
104,0.253,29,0.281,2013,0.386,0.249,0.436,0.308
106,0.257,34,0.259,2013,0.39,0.248,0.406,0.312
102,0.26,23,0.223,2013,0.398,0.253,0.319,0.318
104,0.252,25,0.261,2013,0.378,0.251,0.404,0.31
94,0.268,24,0.226,2013,0.409,0.258,0.368,0.321
99,0.263,29,0.259,2013,0.398,0.258,0.375,0.318
102,0.257,27,0.234,2013,0.395,0.252,0.369,0.309
101,0.268,38,0.242,2013,0.408,0.258,0.422,0.319
93,0.274,22,0.311,2013,0.415,0.261,0.516,0.325
101,0.263,28,0.199,2013,0.398,0.25,0.277,0.315
94,0.272,25,0.228,2013,0.417,0.262,0.353,0.325
100,0.261,24,0.251,2013,0.389,0.252,0.364,0.315
99,0.263,27,0.271,2013,0.398,0.258,0.413,0.319
100,0.253,26,0.233,2013,0.389,0.25,0.351,0.309
94,0.268,27,0.242,2013,0.407,0.258,0.357,0.321
103,0.256,28,0.268,2013,0.389,0.254,0.454,0.313
112,0.257,26,0.268,2013,0.389,0.25,0.445,0.312
94,0.267,25,0.226,2013,0.406,0.256,0.408,0.319
93,0.266,32,0.281,2013,0.404,0.257,0.461,0.321
100,0.267,41,0.275,2013,0.409,0.256,0.411,0.317
101,0.267,26,0.265,2013,0.404,0.253,0.407,0.318
99,0.268,24,0.247,2013,0.405,0.256,0.395,0.319
107,0.259,30,0.241,2013,0.395,0.252,0.388,0.316
99,0.266,29,0.243,2013,0.403,0.256,0.413,0.319
100,0.268,30,0.238,2013,0.405,0.256,0.38,0.321
100,0.269,27,0.293,2013,0.407,0.257,0.492,0.321
93,0.27,24,0.242,2013,0.409,0.258,0.389,0.321
97,0.264,29,0.239,2013,0.399,0.256,0.367,0.317
101,0.265,34,0.247,2013,0.406,0.258,0.413,0.317
94,0.266,26,0.258,2013,0.401,0.256,0.437,0.319
101,0.256,22,0.234,2013,0.393,0.249,0.371,0.308
