Rk,Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
1,Taylor Braun,7,31.0,6.4,10.9,0.592,3.9,7.0,0.551,2.6,3.9,0.667,1.6,2.6,0.611,4.3,2.4,1.4,0.1,1.6,1.6,17.0
2,Marshall Bjorklund,16,28.0,5.5,7.5,0.733,5.5,7.5,0.733,0.0,0.0, ,1.3,2.6,0.488,6.3,1.6,0.6,0.4,1.6,2.4,12.3
3,TrayVonn Wright,16,28.6,4.6,9.6,0.481,3.1,5.1,0.617,1.5,4.6,0.329,0.9,1.0,0.875,5.8,1.1,0.8,1.6,1.0,1.9,11.6
4,Lawrence Alexander,16,33.7,3.8,9.3,0.412,2.8,5.9,0.474,1.0,3.3,0.302,2.5,3.5,0.714,4.6,4.2,0.9,0.0,2.5,1.2,11.1
5,Mike Felt,16,19.6,2.4,6.9,0.351,0.6,1.3,0.429,1.9,5.6,0.333,0.5,0.6,0.889,1.6,0.5,0.4,0.0,0.3,1.4,7.3
6,Kory Brown,16,24.4,1.8,3.8,0.483,1.8,3.3,0.547,0.0,0.4,0.0,1.5,2.3,0.649,3.1,2.4,1.3,0.2,1.7,2.6,5.1
7,Jordan Aaberg,10,9.1,1.9,3.0,0.633,1.9,3.0,0.633,0.0,0.0, ,0.5,0.7,0.714,3.1,0.3,0.2,0.9,0.5,0.9,4.3
8,Brett VandenBergh,14,21.1,1.3,2.6,0.5,0.3,0.8,0.364,1.0,1.8,0.56,0.0,0.1,0.0,2.3,0.9,0.3,0.2,0.6,1.1,3.6
9,Chris Kading,16,15.9,1.3,2.5,0.5,1.0,1.9,0.516,0.3,0.6,0.444,0.5,0.8,0.667,3.1,0.3,0.4,0.6,0.3,1.7,3.3
10,Nate Zastrow,14,8.7,0.8,2.1,0.379,0.1,0.6,0.125,0.7,1.5,0.476,0.3,0.6,0.5,0.7,1.4,0.1,0.0,0.6,0.3,2.6
11,Jamie Mauch,7,4.6,0.4,2.1,0.2,0.0,0.4,0.0,0.4,1.7,0.25,0.4,0.6,0.75,1.4,0.1,0.1,0.0,0.3,0.6,1.7
12,Fred Newell,8,4.9,0.5,0.9,0.571,0.5,0.6,0.8,0.0,0.3,0.0,0.3,0.4,0.667,0.9,0.3,0.4,0.0,0.4,0.5,1.3
