Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Wilfred Pichardo,Low,62,245,39,74,14,1,2,21,32,9,18,76,0.302,0.351,0.392,0.743
Derrik Gibson,Low,67,255,54,74,15,4,0,25,28,5,39,42,0.29,0.395,0.38,0.776
Che-Hsuan Lin,Sal,131,479,75,127,23,2,7,54,26,11,66,75,0.265,0.355,0.365,0.72
Heiker Meneses,DSL,65,216,48,43,2,6,1,17,25,5,34,68,0.199,0.341,0.278,0.619
Lewis Urena,DSL,63,232,51,57,8,7,1,27,22,6,52,35,0.246,0.39,0.353,0.743
Peter Hissey,Gre,106,369,50,103,13,6,0,37,22,9,39,88,0.279,0.356,0.347,0.702
Ryan Kalish,PorSal,135,506,84,141,24,6,18,77,21,6,68,107,0.279,0.364,0.457,0.82
Curtney Doran,DSL,60,201,46,43,10,2,2,28,21,7,47,60,0.214,0.371,0.313,0.685
Freddy Guzman,Paw,62,214,25,49,6,2,2,10,21,7,13,35,0.229,0.272,0.304,0.576
Mitch Dening,Gre,106,391,57,102,24,3,3,39,20,5,39,95,0.261,0.333,0.361,0.693
Kristopher Negron,Sal,111,409,69,108,17,4,3,34,20,3,39,83,0.264,0.338,0.347,0.686
Ryan Westmoreland,Low,60,223,38,66,15,3,7,35,19,0,38,49,0.296,0.401,0.484,0.885
Ryan Dent,SalGre,112,386,65,98,28,3,6,51,18,5,49,122,0.254,0.343,0.389,0.732
Keury De La Cruz,DSL,67,251,31,65,16,4,3,50,13,8,42,43,0.259,0.368,0.39,0.758
Matt Sheely,PorSal,76,165,22,36,4,0,0,10,13,6,31,49,0.218,0.356,0.242,0.599
Dreily Guerrero,DSL,51,174,28,44,1,5,0,19,12,5,32,38,0.253,0.37,0.316,0.686
Ronald Bermudez,Low,70,252,31,65,11,1,1,27,12,4,9,54,0.258,0.294,0.321,0.615
David Mailman,SalGre,119,411,48,100,17,7,4,44,11,5,38,77,0.243,0.311,0.348,0.659
Jeremy Hazelbaker,GreLow,48,158,16,26,5,1,1,9,11,2,27,61,0.165,0.289,0.228,0.517
Ivan Ochoa,PawGCL,50,144,26,36,5,2,2,8,10,0,21,27,0.25,0.357,0.354,0.711
Bubba Bell,PawPor,124,451,61,108,21,3,6,38,10,3,58,90,0.239,0.324,0.339,0.663
Felix Sanchez,GCL,40,138,17,34,7,3,1,11,10,4,9,39,0.246,0.291,0.362,0.653
Reymond Fuentes,GCL,40,145,16,42,6,2,1,14,9,5,7,24,0.29,0.331,0.379,0.711
Sean Danielson,Paw,52,154,18,37,6,1,1,19,9,3,21,33,0.24,0.326,0.312,0.638
Iggy Suarez,PawPor,87,254,36,44,9,0,2,21,9,2,35,76,0.173,0.284,0.232,0.516
