Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Mike Cameron,Por,1,1,1,0,0,1,1,0,0,0,0,1.0,1.0,4.0,5.0
Ryan Shealy,Paw,2,1,2,0,0,1,3,0,0,0,0,1.0,1.0,2.5,3.5
Ryan Lavarnway,PorSal,4,2,3,0,0,1,2,1,0,1,0,0.75,0.8,1.5,2.3
Josh Reddick,Paw,5,1,3,0,0,1,4,0,0,1,0,0.6,0.667,1.2,1.867
Ryan Kalish,PawPor,4,1,2,0,0,1,2,0,0,0,0,0.5,0.5,1.25,1.75
Tim Federowicz,Sal,6,2,2,1,0,1,5,0,0,1,1,0.333,0.429,1.0,1.429
Nate Spears,Por,4,1,1,0,0,1,1,0,0,1,0,0.25,0.4,1.0,1.4
Michael Almanzar,Gre,7,2,1,0,0,1,1,0,0,1,4,0.143,0.25,0.571,0.821
Christopher McGuiness,Gre,1,0,1,0,1,0,1,0,0,0,0,1.0,1.0,3.0,4.0
Jarrod Saltalamacchia,Paw,1,1,1,1,0,0,1,0,0,0,0,1.0,1.0,2.0,3.0
Mike Lowell,Paw,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0
Sean Killeen,Low,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0
Jonathan Hee,Sal,6,1,3,0,1,0,0,0,1,2,0,0.5,0.625,0.833,1.458
Bubba Bell,Paw,3,1,2,0,0,0,0,2,0,1,1,0.667,0.75,0.667,1.417
Xander Bogaerts,DSL,3,0,2,0,0,0,1,0,0,1,0,0.667,0.75,0.667,1.417
Alex Hassan,Sal,5,0,2,0,1,0,1,0,0,1,1,0.4,0.571,0.8,1.371
Jose Iglesias,Por,3,0,2,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.333
Jeremy Hazelbaker,Gre,4,1,1,0,1,0,0,0,0,3,3,0.25,0.571,0.75,1.321
Ray Chang,Por,4,0,2,1,0,0,2,0,0,0,0,0.5,0.5,0.75,1.25
Roberto Duncan,DSL,2,0,1,0,0,0,0,0,0,1,0,0.5,0.667,0.5,1.167
Daniel Butler,SalGre,6,0,2,2,0,0,0,0,0,1,1,0.333,0.429,0.667,1.095
Gustavo Molina,Paw,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0
Vladimir Frias,Gre,3,0,1,1,0,0,1,0,0,0,1,0.333,0.333,0.667,1.0
Christian Vazquez,Gre,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1.0
Aly Gonzalez,DSL,2,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0
