Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Ronald Bermudez,DSL,65,229,37,80,19,3,3,39,12,9,42,34,0.349,0.455,0.498,0.952
Roberto Feliz,DSL,64,240,35,73,13,1,7,55,6,6,23,50,0.304,0.381,0.454,0.836
Wilfred Pichardo,DSL,68,270,55,65,7,7,0,14,33,6,37,63,0.241,0.343,0.319,0.661
Juan Bonifacio,DSL,47,145,24,32,9,1,5,22,7,3,17,60,0.221,0.327,0.4,0.727
Eddie Lora,DSL,65,216,28,48,5,2,4,19,4,3,48,92,0.222,0.367,0.319,0.686
Maykol Sanchez,DSL,42,131,11,29,3,0,0,9,2,2,18,23,0.221,0.338,0.244,0.582
Pedro Gonzalez,DSL,39,123,17,27,3,2,0,9,1,2,13,29,0.22,0.304,0.276,0.581
Wilfi Santana,DSL,53,188,12,44,6,1,0,16,5,2,7,38,0.234,0.275,0.277,0.552
German Reyes,DSL,31,82,13,10,2,0,2,6,1,2,14,33,0.122,0.247,0.22,0.467
Miguel Meregildo,DSL,29,58,14,7,0,0,0,3,4,2,12,22,0.121,0.325,0.121,0.445
Nelson Bonilla,DSL,44,158,20,32,8,0,3,26,1,1,16,50,0.203,0.281,0.31,0.591
Jackvid Avila,DSL,24,87,7,18,6,0,0,8,2,1,4,19,0.207,0.281,0.276,0.557
Luis Diaz,DSL,48,165,20,29,14,3,0,11,2,1,13,48,0.176,0.249,0.297,0.546
Derwin Pinto,DSL,28,82,14,18,2,1,0,13,1,0,19,24,0.22,0.385,0.268,0.653
Alberto Gonzalez,DSL,1,5,0,1,1,0,0,0,0,0,0,2,0.2,0.2,0.4,0.6
Marcial De La Nieve,DSL,13,29,6,5,2,0,0,5,1,0,5,6,0.172,0.314,0.241,0.556
Pedro Chourio,DSL,30,94,8,18,4,0,0,7,1,0,12,44,0.191,0.309,0.234,0.543
