No.,Name,Yr,Pos,gp,gs,min,fg,pct,3pt,ft,pts
40.0,Alicen Heinrich,Sr,F,25,20,602,48-127,60.0,0-2,24-40,120
24.0,Roshenda Josephs,Jr,G,25,21,780,78-223,68.8,1-10,53-77,210
22.0,Demi Vanderwal,Fr,G,25,20,738,118-350,85.9,31-127,73-85,340
34.0,Kristina Walz,So,F,25,2,336,23-62,53.1,0-4,17-32,63
10.0,Alexandra Winfree,So,F,25,5,472,36-124,53.6,20-58,15-28,107
45.0,Sara Ellenberger,Fr,F,24,-,286,26-57,66.7,0-0,16-24,68
15.0,Tamara Kaileh,Jr,G,23,17,586,95-244,56.6,6-20,47-83,243
30.0,Katie Franchois,So,G,22,1,324,8-42,83.3,1-11,20-24,37
23.0,Emily Meehan,Jr,F,21,7,340,35-97,66.7,0-1,34-51,104
32.0,Rebecca Resor,Fr,F,21,11,481,48-123,85.7,0-1,30-35,126
25.0,Miranda Walz,Fr,G,7,1,110,6-22,55.6,0-3,5-9,17
11.0,Jacque Weymann,Fr,G,1,-,0,0-0,-,0-0,0-0,0
 ,Totals, , ,25,25,5055,521-1471,68.4,59-237,334-488,1435
 ,Opponent, , ,25,25,5055,524-1491,61.3,89-356,319-520,1456
