No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
39.0,32.0, ,14,0.0,187.0,5-11,UCLA,1/4/1941,10,2.0,Denver Broncos / 1st / 5th pick / 1963 San Francisco 49ers / 1st / 8th pick / 1963
31.0,24.0, ,12,0.0,211.0,6-2,Florida St.,2/7/1949,2,2.0,Philadelphia Eagles / 10th / 256th pick / 1971
46.0,25.0, ,8,0.0,210.0,6-2,Louisville,1/18/1948,3,1.0,Philadelphia Eagles / 3rd / 59th pick / 1970
28.0,26.0,FS,14,14.0,190.0,5-11,Texas,1/24/1947,4,7.0,Philadelphia Eagles / 3rd / 69th pick / 1969
36.0,27.0,FB,14,14.0,218.0,6-1,TCU,12/25/1946,3,9.0,Baltimore Colts / 1st / 18th pick / 1970
95.0,23.0,rlb,7,5.0,220.0,6-1,North Carolina,7/15/1950,1,2.0,Philadelphia Eagles / 10th / 248th pick / 1972
17.0,24.0,WR,14,14.0,225.0,6-8,Southern,9/22/1949,2,14.0,Philadelphia Eagles / 7th / 161st pick / 1971
21.0,24.0, ,2,0.0,195.0,6-2,Duke,1/15/1949,2,0.0,Atlanta Falcons / 7th / 163rd pick / 1971
8.0,29.0, ,14,0.0,183.0,6-1,"Jackson St.,Tennessee St.",12/27/1944,6,2.0,Minnesota Vikings / 4th / 87th pick / 1967
51.0,29.0, ,9,2.0,245.0,6-3,Arkansas,10/12/1944,6,3.0,Detroit Lions / 9th / 136th pick / 1966
81.0,23.0, ,8,0.0,180.0,5-10,Memphis,7/13/1950,Rook,0.0,Philadelphia Eagles / 13th / 315th pick / 1973
19.0,26.0,K,14,0.0,255.0,6-2,Palomar College,1/12/1947,4,3.0, 
61.0,24.0, ,14,7.0,250.0,6-4,Utah St.,1/3/1949,Rook,2.0,San Francisco 49ers / 14th / 361st pick / 1971
59.0,27.0,c,14,5.0,250.0,6-5,Boston Col.,8/6/1946,5,3.0,Philadelphia Eagles / 9th / 232nd pick / 1968
5.0,33.0,QB,14,14.0,220.0,6-5,North Carolina St.,8/5/1940,11,15.0,Oakland Raiders / 1st / 1st pick / 1962 Los Angeles Rams / 1st / 2nd pick / 1962
56.0,27.0, ,5,4.0,230.0,6-2,Washington,8/24/1946,5,1.0,Los Angeles Rams / 13th / 351st pick / 1968
84.0,25.0,RDT,11,10.0,260.0,6-5,Grambling St.,1/21/1948,2,3.0,Philadelphia Eagles / 1st / 5th pick / 1971
18.0,29.0, ,4,4.0,180.0,6-1,Arizona St.,3/22/1944,7,1.0,Philadelphia Eagles / 3rd / 36th pick / 1966 New York Jets / 5th / 38th pick / 1966
83.0,33.0, ,3,1.0,241.0,6-3,Southern Miss,12/16/1940,10,1.0, 
27.0,24.0,KR,10,1.0,202.0,6-1,New Mexico St.,3/19/1949,1,3.0,Philadelphia Eagles / 4th / 92nd pick / 1972
72.0,27.0,LG,12,10.0,245.0,6-5,"Texas,Texas St.",10/14/1946,3,4.0,Philadelphia Eagles / 13th / 314th pick / 1969
66.0,26.0, ,7,0.0,235.0,6-1,Md-Eastern Shore,9/18/1947,2,3.0,New York Jets / 8th / 188th pick / 1971
