BLK%,USG%,GS,GmSc,Age
0.0,27.8,0,-2.7,25-081
0.0,48.6,0,-0.7,25-062
0.0,21.5,0,4.3,25-019
0.0,14.1,0,-0.4,25-064
0.0,17.0,0,0.9,24-355
0.0,20.1,0,7.1,25-014
0.0,20.6,0,1.9,24-346
0.0,0.0,0,0.0,24-354
0.0,12.7,0,1.2,25-075
0.0,28.1,0,2.5,25-096
4.5,24.3,0,9.5,25-010
0.0,24.6,0,7.5,25-007
0.0,18.1,0,7.9,25-027
0.0,0.0,0,0.0,24-317
0.0,24.2,0,1.9,25-050
0.0,13.3,0,11.8,25-099
0.0,32.2,0,7.9,25-037
0.0,15.4,0,0.8,25-073
3.8,22.7,0,1.9,25-076
0.0,34.5,0,6.8,24-343
0.0,14.9,0,-0.7,25-017
0.0,23.4,0,4.6,25-058
0.0,17.4,0,9.3,25-088
0.0,30.8,0,-1.1,25-022
0.0,10.7,0,-0.4,24-348
0.0,23.7,0,-1.4,25-030
0.0,16.0,0,2.1,25-034
0.0,23.8,0,-0.4,25-038
0.0,21.2,0,-0.2,25-101
0.0,17.4,0,-0.5,24-320
