Indicators,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
SJR,-,-,-,-,-,-,-,"1,492","1,361","1,342","1,390","1,533","1,607","0,918","0,750","0,489"
Total Documents,-,-,-,-,-,-,-,22,20,20,22,34,54,54,51,59
Total Docs. (3years),-,-,-,-,-,-,-,23,45,65,62,62,76,110,142,159
Total References,-,-,-,-,-,-,-,3.320,2.877,2.865,2.806,3.569,6.660,5.470,4.429,5.092
Total Cites (3years),-,-,-,-,-,-,-,68,120,202,208,252,301,272,301,359
Self Cites (3years),-,-,-,-,-,-,-,0,1,1,7,2,3,5,10,2
Citable Docs. (3years),-,-,-,-,-,-,-,23,45,64,61,61,73,101,129,147
Cites / Doc. (4years),-,-,-,-,-,-,-,"2,96","2,67","3,16","3,67","3,90","4,16","3,08","2,60","2,42"
Cites / Doc. (3years),-,-,-,-,-,-,-,"2,96","2,67","3,16","3,41","4,13","4,12","2,69","2,33","2,44"
Cites / Doc. (2years),-,-,-,-,-,-,-,"2,96","2,67","2,66","3,79","4,02","3,74","2,09","2,47","2,16"
References / Doc.,-,-,-,-,-,-,-,"150,91","143,85","143,25","127,55","104,97","123,33","101,30","86,84","86,31"
Cited Docs.,-,-,-,-,-,-,-,15,34,56,52,55,63,75,107,107
Uncited Docs.,-,-,-,-,-,-,-,8,11,9,10,7,13,35,35,52
% International Collaboration,-,-,-,-,-,-,-,"18,18","15,00","10,00","9,09","29,41","20,37","24,07","7,84","15,25"
