Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 24,vs. Grove City,"W, 11-7",0,0,0,-,-,-,0,-,-,-,-
Feb 24,vs. Grove City,"W, 10-3",-,-,-,-,-,-,-,-,-,-,-
Feb 25,vs. Brandeis,"L, 7-1",-,-,-,-,-,-,-,-,-,-,-
Feb 26,vs. Franklin,"L, 10-6",-,-,-,-,-,-,-,-,-,-,-
Feb 27,vs. Rochester Inst.,"W, 9-6",-,-,-,-,-,-,-,-,-,-,-
Feb 27,vs. Rochester Inst.,"W, 6-2",-,-,-,-,-,-,-,-,-,-,-
Mar 4,Western New England,"L, 9-2",-,-,-,-,-,-,-,-,-,-,-
Mar 5,Keene St.,"W, 5-1",-,-,-,-,-,-,-,-,-,-,-
Mar 12,Southern Maine,"L, 14-5",1,0,0,-,-,-,0,-,1,-,-
Mar 12,Eastern Connecticut,"L, 8-3",0,0,0,-,-,-,0,-,-,-,-
Mar 13,Southern Maine,"L, 11-2",2,0,0,-,-,-,0,1,2,1,-
Mar 13,Eastern Connecticut,"W, 4-3",-,-,-,-,-,-,-,-,-,-,-
Mar 19,Mount Saint Vincent,"L, 12-9",-,-,-,-,-,-,-,-,-,-,-
Mar 19,Mount Saint Vincent,"W, 8-1",-,-,-,-,-,-,-,-,-,-,-
Mar 26,at Old Westbury,"W, 6-0",-,-,-,-,-,-,-,-,-,-,-
Mar 26,at Old Westbury,"W, 7-5",-,-,-,-,-,-,-,-,-,-,-
Mar 27,Purchase,"L, 8-1",-,-,-,-,-,-,-,-,-,-,-
Mar 27,Purchase,"W, 6-3",-,-,-,-,-,-,-,-,-,-,-
Mar 29,Oneonta St.,"L, 6-5",2,0,0,-,-,-,0,-,2,-,-
Apr 3,Mount Saint Mary,"W, 6-1",-,-,-,-,-,-,-,-,-,-,-
Apr 3,Mount Saint Mary,"W, 3-0",0,1,0,-,-,-,0,-,-,-,-
Apr 8,Yeshiva,"W, 9-0",0,0,0,-,-,-,0,-,-,-,-
Apr 8,Yeshiva,"W, 15-0",2,0,1,-,-,-,1,1,-,-,-
Apr 10,at St. Joseph's,"L, 2-1",-,-,-,-,-,-,-,-,-,-,-
Apr 10,at St. Joseph's,"L, 11-10",-,-,-,-,-,-,-,-,-,-,-
Apr 16,NYU-Poly,"W, 24-0",2,1,0,-,-,-,0,-,-,-,-
Apr 16,NYU-Poly,"W, 13-1",1,0,1,-,-,-,0,-,-,-,-
Apr 20,at Maritime,"W, 8-0",-,-,-,-,-,-,-,-,-,-,-
Apr 20,at Maritime,"W, 4-1",0,0,0,-,-,-,0,-,-,-,-
Apr 26,Manhattanville,"W, 10-1",1,0,0,-,-,-,0,-,-,-,-
Apr 26,Manhattanville,"L, 7-2",0,0,0,-,-,-,0,1,-,2,-
Apr 29,Mount Saint Vincent,"W, 4-0",-,-,-,-,-,-,-,-,-,-,-
Apr 30,at Old Westbury,"W, 11-2",0,0,0,-,-,-,0,-,-,-,-
May 1,Old Westbury,"W, 10-1",-,-,-,-,-,-,-,-,-,-,-
May 7,John Jay,"W, 6-2",1,0,0,-,-,-,0,-,-,-,-
May 11,Ramapo,"W, 5-4",-,-,-,-,-,-,-,-,-,-,-
May 11,Ramapo,"L, 3-2",2,1,1,-,-,-,0,1,1,-,-
May 13,at Kean,"W, 3-2",-,-,-,-,-,-,-,-,-,-,-
May 13,at Kean,"L, 14-2",3,0,1,-,-,-,0,1,-,-,-
May 14,Ithaca,"W, 2-1",-,-,-,-,-,-,-,-,-,-,-
May 14,Ithaca,"L, 8-4",4,0,1,-,-,-,0,-,2,1,-
May 18,vs. Clarkson,"W, 2-1",-,-,-,-,-,-,-,-,-,-,-
May 20,vs. Keystone,"L, 6-2",-,-,-,-,-,-,-,-,-,-,-
May 20,vs. Brockport St.,"L, 6-2",1,0,0,-,-,-,0,-,-,-,-
