TOV%,Age,DRtg
0.0,34-297,128
 ,34-315,92
 ,34-324,116
0.0,34-303,113
50.0,34-354,81
 ,34-269,120
100.0,34-286,100
0.0,34-224,104
20.0,34-360,86
 ,34-357,135
0.0,34-283,86
0.0,34-346,94
 ,34-279,112
0.0,35-013,93
0.0,34-345,106
0.0,34-331,124
 ,34-248,106
0.0,35-001,113
 ,34-307,105
25.0,34-275,109
100.0,34-300,101
100.0,34-294,107
100.0,34-227,104
50.0,34-253,115
43.6,34-223,83
0.0,34-258,94
100.0,34-332,110
100.0,34-352,112
16.7,34-364,121
0.0,34-322,104
0.0,34-213,111
41.0,34-271,92
0.0,34-216,107
33.3,34-236,129
33.3,34-221,88
0.0,34-245,101
