DRtg,BLK%,AST%,Age,GS,Tm
125,0.0,0.0,26-080,1,NJN
105,0.0,0.0,25-295,0,CHI
124,0.0,0.0,26-008,0,NJN
118,0.0,0.0,26-035,1,NJN
109,0.0,7.6,26-069,1,NJN
102,0.0,0.0,25-302,0,CHI
95,0.0,9.5,25-285,0,CHI
117,0.0,0.0,26-034,1,NJN
132,0.0,0.0,25-337,0,NJN
99,0.0,0.0,26-064,1,NJN
113,0.0,8.7,25-355,0,NJN
115,0.0,0.0,26-037,1,NJN
116,0.0,0.0,26-021,0,NJN
125,0.0,0.0,26-050,0,NJN
127,0.0,0.0,25-284,0,CHI
113,0.0,0.0,25-357,0,NJN
111,0.0,0.0,25-329,0,NJN
108,5.1,11.4,25-363,0,NJN
94,0.0,4.3,26-084,1,NJN
104,0.0,8.3,25-345,0,NJN
99,2.2,0.0,26-085,1,NJN
120,2.7,0.0,26-003,0,NJN
109,3.0,7.8,26-044,0,NJN
109,0.0,0.0,25-298,0,CHI
92,0.0,0.0,25-347,0,NJN
113,0.0,6.7,26-005,1,NJN
120,0.0,0.0,25-335,0,NJN
112,0.0,0.0,25-349,0,NJN
113,0.0,10.3,26-000,0,NJN
98,0.0,0.0,25-333,0,NJN
104,0.0,14.8,25-316,0,CHI
119,2.2,0.0,26-042,1,NJN
123,4.5,0.0,26-053,1,NJN
107,0.0,0.0,26-074,1,NJN
124,0.0,4.1,26-067,1,NJN
106,0.0,0.0,26-002,0,NJN
114,0.0,6.5,26-039,1,NJN
111,0.0,8.3,26-073,1,NJN
115,0.0,0.0,26-051,1,NJN
