Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Tony Thomas,PawPor,165,24,46,12,4,6,27,7,1,12,35,0.279,0.335,0.509,0.844
Keury De La Cruz,Sal,203,25,53,12,4,3,35,3,0,10,46,0.261,0.294,0.404,0.698
Jackie Bradley Jr.,Paw,136,27,40,10,3,3,12,5,5,17,30,0.294,0.382,0.478,0.86
Garin Cecchini,PorSal,173,29,49,8,3,3,24,7,4,34,25,0.283,0.408,0.416,0.824
Jose Vinicio,Gre,146,14,30,3,3,0,9,9,3,2,37,0.205,0.22,0.267,0.487
Xander Bogaerts,PawPor,164,32,51,10,2,7,23,5,3,25,32,0.311,0.405,0.524,0.93
Aneury Tavarez,Gre,154,18,42,16,2,2,23,18,9,10,39,0.273,0.327,0.442,0.769
Travis Shaw,Por,145,20,32,8,2,5,20,2,0,27,36,0.221,0.358,0.407,0.765
Shannon Wilkerson,Por,193,29,43,9,2,1,9,13,4,14,34,0.223,0.276,0.306,0.582
Mookie Betts,SalGre,176,40,58,15,1,6,21,21,3,27,16,0.33,0.415,0.528,0.943
Henry Ramos,Sal,180,29,46,13,1,4,20,4,4,20,30,0.256,0.325,0.406,0.731
Cody Koback,SalGre,139,16,31,4,1,0,14,7,2,16,24,0.223,0.306,0.266,0.572
Michael Almanzar,Por,169,27,57,15,0,7,32,6,1,12,28,0.337,0.396,0.55,0.946
David Chester,SalGre,153,22,36,8,0,8,32,1,0,17,46,0.235,0.316,0.444,0.761
Deven Marrero,PorSal,169,21,38,9,0,1,8,17,0,20,32,0.225,0.309,0.296,0.605
Drew Sutton,Paw,138,15,31,9,0,0,14,2,1,19,31,0.225,0.314,0.29,0.604
