RBI,SF,CS,SH,POS,SO,HR,2B
21,0,0,2,3B,40,2,7
3,1,0,1,3B,5,0,1
13,0,2,0,1B,25,0,5
6,0,6,6,3B,25,0,0
18,0,3,5,3B,31,2,6
3,0,2,0,1B,23,1,4
32,1,3,1,3B,75,9,9
25,0,5,1,3B,34,1,9
19,1,1,0,1B,19,1,6
19,0,2,1,3B,43,4,4
8,0,5,5,1B,45,0,4
11,0,2,1,1B,12,1,2
24,0,6,2,3B,12,2,4
27,0,2,2,3B,36,0,9
22,3,12,4,3B,55,1,11
1,0,0,0,1B,5,0,0
26,0,1,1,1B,26,5,7
12,1,2,0,1B,46,2,3
10,1,5,3,3B,25,0,4
19,1,2,2,3B,19,1,4
20,0,1,0,1B,14,2,8
30,0,3,2,1B,44,1,9
1,0,0,0,3B,0,1,0
32,4,3,7,1B,23,1,13
19,0,3,0,3B,23,1,3
50,2,2,0,1B,43,11,11
14,0,1,2,3B,32,3,5
11,1,2,5,3B,18,0,4
25,0,4,0,1B,37,4,10
12,1,1,0,3B,28,1,2
25,2,4,2,1B,27,1,9
19,2,0,0,1B,51,1,3
11,1,2,1,3B,22,0,2
8,1,3,2,3B,59,1,3
15,1,2,1,1B,13,1,9
21,0,2,5,3B,24,1,6
18,3,2,0,1B,30,0,14
26,2,3,0,1B,44,2,9
46,1,1,0,1B,24,5,16
12,0,2,1,1B,24,0,0
5,1,3,0,3B,30,1,4
23,4,3,1,3B,51,1,15
3,0,0,1,1B,15,0,0
25,5,1,0,1B,25,1,5
3,0,0,0,1B,19,0,1
0,0,0,0,1B,15,0,1
57,3,2,0,1B,44,10,12
7,0,2,4,3B,23,0,5
57,2,2,0,1B,64,12,9
5,0,0,0,1B,36,0,6
24,6,6,5,3B,32,0,9
12,0,1,0,3B,54,0,7
7,0,1,0,3B,19,0,5
39,1,2,0,3B,45,4,7
14,0,1,0,1B,12,1,6
37,4,1,1,1B,35,5,17
28,2,1,0,1B,31,1,14
20,1,4,1,3B,10,1,6
12,1,0,0,1B,8,2,4
8,1,7,2,3B,30,0,5
7,1,1,1,3B,31,0,2
17,2,1,3,3B,13,0,5
27,4,5,2,1B,16,5,12
