Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Carson Blair,Low,1,2,0,1,1,0,0,0,0,0,1,1,0.5,0.667,1.0,1.667
Ryan Westmoreland,Low,60,223,38,66,15,3,7,35,19,0,38,49,0.296,0.401,0.484,0.885
Kenneth Roque,Low,10,32,6,10,1,2,0,3,1,1,4,8,0.313,0.389,0.469,0.858
Alex Hassan,Low,26,93,14,31,5,1,1,11,1,1,8,11,0.333,0.382,0.441,0.823
Christopher McGuiness,Low,54,196,26,50,17,0,6,38,0,1,36,40,0.255,0.374,0.434,0.808
Derrik Gibson,Low,67,255,54,74,15,4,0,25,28,5,39,42,0.29,0.395,0.38,0.776
Wilfred Pichardo,Low,62,245,39,74,14,1,2,21,32,9,18,76,0.302,0.351,0.392,0.743
Shannon Wilkerson,Low,31,125,15,33,10,5,0,11,5,1,5,22,0.264,0.308,0.424,0.732
Drew Hedman,Low,45,151,16,40,19,0,0,21,0,3,15,39,0.265,0.341,0.391,0.732
William Holmes,Low,27,91,15,24,3,1,2,14,0,2,7,28,0.264,0.333,0.385,0.718
Thomas Di Benedetto,Low,18,42,2,12,2,0,0,1,0,1,3,9,0.286,0.362,0.333,0.695
Jed Lowrie,Low,3,11,2,2,2,0,0,1,0,0,2,1,0.182,0.308,0.364,0.671
Michael Thomas,Low,2,7,0,2,0,0,0,0,0,0,1,4,0.286,0.375,0.286,0.661
Ronald Bermudez,Low,70,252,31,65,11,1,1,27,12,4,9,54,0.258,0.294,0.321,0.615
Sean Killeen,Low,23,76,7,19,3,0,0,3,0,2,7,16,0.25,0.321,0.289,0.611
Yamaico Navarro,Low,5,21,1,5,1,0,0,2,0,2,2,3,0.238,0.304,0.286,0.59
Michael Almanzar,Low,59,222,29,51,7,3,1,29,1,2,16,52,0.23,0.288,0.302,0.59
Joantoni Garcia,Low,61,208,26,37,15,1,2,28,3,0,27,77,0.178,0.28,0.288,0.569
Chia-Chu Chen,Low,23,64,9,12,3,1,1,11,0,0,5,8,0.188,0.239,0.313,0.552
Daniel Butler,Low,22,78,7,14,3,1,1,10,0,1,4,14,0.179,0.261,0.282,0.543
Jeremy Hazelbaker,Low,3,8,0,1,0,0,0,0,0,0,4,3,0.125,0.417,0.125,0.542
Christian Vazquez,Low,21,65,4,8,2,0,2,9,0,0,11,16,0.123,0.25,0.246,0.496
Roberto Feliz,Low,13,40,7,7,0,0,1,5,0,1,3,8,0.175,0.233,0.25,0.483
Drew Dominguez,Low,14,38,4,7,1,0,0,4,1,0,1,14,0.184,0.262,0.211,0.472
