Time of Analysis.,Balling of Beer.,Balling of Wort,Water.,Alcohol by Weight.,Real Extract.,Albuminoids.,Sugar.,Lactic Acid.,Ash.,Phosphoric Acid.,Analyzed By
 , , , , , , , , , , , 
1886,3.55,11.29,91.79,2.98,5.23,...,...,...,0.196,...,Fr. Kundrat.
1881/85,3.75,10.0,92.65,2.66,4.69,0.24,...,...,0.15,0.051,L. Rosler.
1881/85,3.00,10.13,92.81,2.94,4.25,0.26,...,...,0.14,...,L. Rosler.
1876,3.75,10.78,92.15,2.93,4.92,0.30,...,0.09,0.16,...,Fr. Schwackhoefer.
1874/76,...,12.82,90.89,3.71,5.4,...,...,...,0.28,...,A. Hilger.
1866,4.25,11.92,...,3.0,5.92,...,...,...,0.25,...,C. Lermer.
 , , , , , , , , , , , 
1887,3.15,11.72,...,3.32,5.08,...,...,0.12,0.18,...,E. Geissler.
...,2.75,11.72,...,3.51,4.7,...,...,0.12,0.19,...,E. Geissler.
...,2.75,11.34,92.21,3.55,4.24,0.28,...,...,0.2,...,Fr. Schwackhoefer.
1881/85,3.75,14.11,...,4.07,5.97,0.54,...,0.15,0.21,...,L. Rosler.
 , , , , , , , , , , , 
