Symbol,Company,Insider,Position,Date,Buy/Sell,Shares,Trade Price ($),Cost ($1000),Price Change Since Trade (%),Yield (%),P/E,Market Cap ($M),Details
MGN,Mines Managemen...,DOBBS GLENN,CEO (Click for the stocks that their CEOs have bought),2015-04-16,Buy,"10,471",$0.5,5.2,2.0,0.0,0.0,15.205,Link
MGN,Mines Managemen...,DOBBS GLENN,CEO,2015-04-07,Buy,"50,000",$0.49,24.5,4.08,0.0,0.0,15.205,Link
MGN,Mines Managemen...,DOBBS GLENN,CEO,2015-03-31,Buy,"50,000",$0.45,22.5,13.33,0.0,0.0,15.205,Link
MGN,Mines Managemen...,DOBBS GLENN,CEO,2013-11-20,Buy,"19,910",$0.51,10.2,0.0,0.0,0.0,15.205,Link
MGN,Mines Managemen...,DOBBS GLENN,CEO,2013-11-13,Buy,"22,658",$0.55,12.5,-7.27,0.0,0.0,15.205,Link
MGN,Mines Managemen...,DOBBS GLENN,CEO,2013-07-01,Buy,"16,000",$0.57,9.1,-10.53,0.0,0.0,15.205,Link
MGN,Mines Managemen...,DOBBS GLENN,Director,2013-02-21,Buy,"39,127",$1.02,39.9,-50.0,0.0,0.0,15.205,Link
MGN,Mines Managemen...,DOBBS GLENN,President and CEO,2012-12-28,Buy,"50,000",$1.03,51.5,-50.49,0.0,0.0,15.205,Link
MGN,Mines Managemen...,DOBBS GLENN,President and CEO,2012-09-06,Buy,"10,000",$1.47,14.7,-65.31,0.0,0.0,15.205,Link
MGN,Mines Managemen...,DOBBS GLENN,President and CEO,2011-12-06,Sell,"100,000",$2.63,263.0,-80.61,0.0,0.0,15.205,Link
