Avg Per Game,G,Min,FGM,FGA,FG%,3PM,3PA,3PT%,FTM,FTA,FT%,Off,Def,Reb,Ast,TO,Stl,Blk,PF,P
Jordan Swails,26,29.8,4.2,9.3,45.2,1.0,2.7,38.0,1.6,2.1,76.4,2.2,3.7,5.9,1.8,3.2,1.8,0.3,2.6,11.0
Janelle Lane,26,27.0,4.0,8.8,45.7,0.0,0.0,0.0,1.9,2.8,69.4,1.7,3.0,4.7,1.1,2.7,0.7,0.8,3.8,10.0
Bria Harris,26,28.9,3.5,8.5,40.5,0.0,0.0,0.0,2.3,4.2,56.5,2.3,5.0,7.3,0.8,2.9,1.1,0.6,3.4,9.3
Genesis Lucas,25,29.0,3.3,8.5,38.5,0.6,1.7,38.1,1.4,2.0,70.6,0.6,2.1,2.7,3.1,3.4,1.4,0.0,2.1,8.6
Amber Griffin,27,35.9,3.2,10.2,31.3,0.2,1.3,14.3,1.3,1.9,70.0,1.1,2.2,3.3,3.4,2.8,1.1,0.0,1.8,7.9
Keena Samuels,23,16.5,1.4,6.0,23.4,0.1,0.4,33.3,1.7,2.2,74.5,0.6,0.9,1.5,0.9,1.4,0.7,0.0,2.2,4.6
Omaah Tayong,27,14.3,1.7,4.0,43.5,0.0,0.0,0.0,0.7,1.3,57.1,1.9,2.3,4.2,0.1,1.1,0.5,0.9,2.2,4.2
Tanaysa Henderson,26,16.0,1.4,4.7,30.6,0.2,0.6,31.3,0.7,1.2,59.4,0.7,1.8,2.5,0.6,1.2,0.6,0.1,1.0,3.8
Candice Beverly,22,11.1,0.5,1.8,25.6,0.0,0.0,0.0,0.5,1.0,45.5,0.7,0.6,1.3,0.2,1.0,0.2,0.1,1.0,1.4
D'Ajahnae Smith,5,3.8,0.4,1.0,40.0,0.0,0.2,0.0,0.2,0.4,50.0,0.6,0.4,1.0,0.2,0.4,0.0,0.0,0.6,1.0
Oluwaseun Adeniji,11,5.1,0.1,0.5,20.0,0.0,0.0,0.0,0.4,0.5,80.0,0.4,0.8,1.2,0.2,0.2,0.1,0.1,0.6,0.5
