TOV%,MP,DRtg,ORB%,STL%,GS,USG%
0.0,17:03,126,22.8,0.0,0,7.8
17.4,18:30,117,23.1,2.7,0,13.1
0.0,17:51,117,21.8,0.0,0,9.7
0.0,19:59,116,16.8,0.0,0,11.1
0.0,17:01,117,26.9,0.0,0,8.1
0.0,22:57,101,20.5,2.3,0,8.1
0.0,17:52,104,24.4,3.0,0,17.8
0.0,9:28,88,48.8,0.0,0,16.7
0.0,14:52,105,12.7,3.3,0,11.4
25.4,24:29,109,14.7,2.1,0,14.5
0.0,16:59,100,5.0,2.9,1,7.3
0.0,8:03,120,0.0,0.0,0,18.3
10.1,29:51,109,15.0,1.7,0,14.2
34.7,14:02,128,15.9,0.0,0,9.5
50.0,12:23,85,22.1,0.0,0,7.8
25.8,15:10,108,18.6,0.0,0,12.2
 ,10:52,103,7.7,4.5,0,0.0
 ,13:23,109,0.0,0.0,0,0.0
18.4,12:48,105,35.2,0.0,0,20.8
0.0,14:18,102,15.3,0.0,0,6.0
18.4,22:06,89,15.2,0.0,1,11.5
0.0,18:49,101,9.0,2.8,0,6.7
