DRB%,G,Date
30.8,66,1988-04-05
6.1,36,1988-01-16
0.0,4,1987-11-12
8.6,33,1988-01-10
30.0,19,1987-12-12
10.3,34,1988-01-13
13.7,11,1987-11-27
18.6,10,1987-11-24
10.0,43,1988-02-01
29.6,28,1987-12-30
28.2,57,1988-03-15
31.9,39,1988-01-24
0.0,21,1987-12-15
0.0,20,1987-12-14
53.3,62,1988-03-26
0.0,12,1987-11-28
6.5,13,1987-12-01
9.4,26,1987-12-26
0.0,59,1988-03-18
0.0,65,1988-04-02
17.8,48,1988-02-15
8.3,46,1988-02-11
26.7,31,1988-01-06
16.6,71,1988-04-16
8.6,27,1987-12-28
0.0,55,1988-03-09
30.0,17,1987-12-08
9.2,40,1988-01-26
29.1,64,1988-03-31
29.4,54,1988-03-08
0.0,3,1987-11-10
48.6,58,1988-03-17
32.9,37,1988-01-18
11.5,60,1988-03-20
0.0,6,1987-11-15
36.0,2,1987-11-07
39.0,22,1987-12-17
0.0,63,1988-03-29
32.7,68,1988-04-09
31.2,70,1988-04-15
0.0,67,1988-04-08
0.0,51,1988-02-26
22.1,5,1987-11-13
0.0,50,1988-02-18
31.4,41,1988-01-29
