Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
Totals:, , , , , , , ,0,18,16.314M,3.225M
EAGLE BEND,WARREN CO.,MS,01/10/2008,10:20,CST-6,Thunderstorm Wind,53 kts. EG,0,0,8.00K,0.00K
GRAND GULF,CLAIBORNE CO.,MS,01/10/2008,11:00,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
GRAND GULF,CLAIBORNE CO.,MS,01/10/2008,11:09,CST-6,Funnel Cloud, ,0,0,0.00K,0.00K
BEAUREGARD,COPIAH CO.,MS,01/10/2008,11:22,CST-6,Funnel Cloud, ,0,0,0.00K,0.00K
BENTON,YAZOO CO.,MS,01/10/2008,11:26,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
ROCKY SPGS,CLAIBORNE CO.,MS,01/10/2008,11:27,CST-6,Tornado,EF1,0,0,20.00K,60.00K
DUKE,HINDS CO.,MS,01/10/2008,11:38,CST-6,Thunderstorm Wind,53 kts. EG,0,0,3.00K,0.00K
EBENEZER,HOLMES CO.,MS,01/10/2008,11:42,CST-6,Hail,1.75 in.,0,0,15.00K,0.00K
HARRISVILLE,SIMPSON CO.,MS,01/10/2008,11:50,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
PICKENS,HOLMES CO.,MS,01/10/2008,11:51,CST-6,Tornado,EF3,0,3,3.000M,700.00K
BOYETTE,ATTALA CO.,MS,01/10/2008,12:02,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
BOYETTE,ATTALA CO.,MS,01/10/2008,12:03,CST-6,Tornado,EF1,0,0,20.00K,150.00K
DIXON,HINDS CO.,MS,01/10/2008,12:09,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
ROCKY HILL,MADISON CO.,MS,01/10/2008,12:11,CST-6,Hail,2.75 in.,0,0,300.00K,0.00K
SALLIS,ATTALA CO.,MS,01/10/2008,12:13,CST-6,Thunderstorm Wind,78 kts. EG,0,0,300.00K,0.00K
