TRB%,AST%,USG%,ORtg,eFG%,ORB%,Age,G,TOV%
14.6,4.9,5.1,120,.333,8.3,35-133,22,0.0
0.0,0.0,16.2,200,1.000,0.0,35-197,47,0.0
11.4,0.0,16.4,137,.400,12.6,35-218,57,0.0
21.4,16.2,6.0,96,.000,15.4,35-241,67,0.0
9.4,0.0,0.0, , ,0.0,35-150,28, 
11.4,36.4,9.6,205,1.000,13.3,35-087,2,0.0
16.4,5.5,4.0,50,.000,5.1,35-124,17,50.0
14.5,6.3,6.8,139,.667,11.2,35-095,5,0.0
12.5,12.9,6.0,106,1.000,0.0,35-157,30,0.0
19.7,18.0,14.0,100,.000,13.2,35-109,10,0.0
25.0,0.0,21.2,96,.250,46.2,35-192,44,0.0
23.3,0.0,2.0,208,1.000,17.1,35-230,64,0.0
0.0,15.7,0.0,222, ,0.0,35-246,69, 
24.6,0.0,0.0,218, ,12.5,35-177,38, 
6.7,6.7,5.2,133, ,6.5,35-165,33,53.2
11.8,0.0,10.0,79,.500,8.0,35-175,37,33.3
12.1,8.3,8.4,21,.000,0.0,35-129,20,0.0
16.4,10.7,8.1,97,.250,9.7,35-216,56,0.0
20.4,0.0,16.2,82,.250,18.2,35-189,43,0.0
5.5,5.7,8.9,24,.000,3.7,35-225,61,20.5
10.1,0.0,10.5,89,.500,5.0,35-170,34,0.0
7.3,5.2,10.4,157,1.000,5.4,35-202,49,17.4
13.9,0.0,12.4,54,.333,0.0,35-131,21,25.0
20.8,8.0,7.0,129,.667,22.7,35-141,25,25.0
7.4,8.6,8.2,70,.000,0.0,35-153,29,0.0
0.0,8.2,16.6,219,1.000,0.0,35-213,55,0.0
18.3,0.0,15.2,85,.167,15.3,35-099,7,0.0
11.8,0.0,11.8,82,.250,13.4,35-185,41,0.0
