Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Aug 29,Cumberland (Tenn.),"W, 63-7",2,5,7,-,-,1.0,-,-,-,-,-,-,-,-
Sep 7,at Wisconsin,"L, 48-0",2,2,4,-,-,0.0,-,-,-,-,-,-,-,-
Sep 14,at Hampton,"W, 30-27",5,3,8,-,-,0.5,-,-,1,-,-,-,-,-
Sep 21,Tennessee State,"L, 41-21",1,2,3,-,-,0.0,0,-,-,0,1,-,-,-
Sep 28,Indiana St.,"W, 38-37",4,1,5,-,-,0.5,0,-,-,0,1,-,-,-
Oct 5,at Murray State,"L, 35-24",2,2,4,-,-,0.0,-,-,1,-,-,-,-,-
Oct 10,UT Martin,"L, 28-17",3,3,6,-,-,0.0,-,-,-,-,-,1,-,-
Oct 19,at Eastern Kentucky,"L, 24-10",2,3,5,-,-,0.0,-,-,-,-,-,-,-,-
Oct 26,Jacksonville State,"L, 34-14",4,6,10,-,-,0.5,-,-,-,-,-,-,-,-
Nov 2,at Eastern Illinois,"L, 56-21",4,1,5,-,-,0.0,-,-,-,-,-,1,-,-
Nov 9,at Southeast Missouri,"W, 41-16",2,0,2,-,-,0.0,-,-,-,-,-,-,-,-
Nov 23,Austin Peay,"W, 34-0",1,3,4,-,-,0.0,-,-,-,-,-,-,-,-
