Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Scott Podsednik,Paw,25,89,9,25,2,1,1,11,4,2,8,13,0.281,0.33,0.36,0.69
Adalberto Ibarra,Sal,75,247,31,68,15,1,0,25,8,4,38,39,0.275,0.386,0.344,0.731
Aneury Tavarez,Low,62,212,19,58,9,4,4,24,6,3,11,59,0.274,0.329,0.41,0.739
Jeremy Hazelbaker,PawPor,121,466,79,127,24,6,19,67,36,11,35,122,0.273,0.335,0.472,0.807
Alixon Suarez,DSL,63,226,41,61,15,4,4,28,2,3,39,41,0.27,0.399,0.425,0.824
Jose Vinicio,GreLow,72,264,37,71,9,3,3,32,24,11,13,58,0.269,0.311,0.36,0.671
Jose Iglesias,PawLow,90,361,47,97,10,1,1,23,13,3,28,47,0.269,0.321,0.31,0.631
Deven Marrero,Low,64,246,45,66,14,3,2,24,24,7,34,48,0.268,0.358,0.374,0.732
Shannon Wilkerson,PorSal,124,477,58,128,24,5,4,48,32,8,25,88,0.268,0.304,0.365,0.669
Deiner Lopez,GCL,37,116,17,31,8,0,0,12,7,2,10,25,0.267,0.341,0.336,0.677
Mookie Betts,Low,71,251,34,67,8,1,0,31,20,4,32,30,0.267,0.352,0.307,0.658
Ryan Kalish,3 Teams,33,132,21,35,6,0,5,15,8,3,17,34,0.265,0.347,0.424,0.771
Andy LaRoche,Paw,51,182,23,48,15,0,7,25,1,1,18,24,0.264,0.338,0.462,0.8
Jose Colorado,LowGCL,59,205,33,54,17,1,1,30,16,7,31,44,0.263,0.365,0.371,0.735
Jake Davies,LowGCL,54,190,22,50,12,1,1,22,2,1,18,36,0.263,0.33,0.353,0.683
Boss Moanaroa,Gre,110,359,48,94,20,1,5,49,1,1,77,113,0.262,0.391,0.365,0.756
Blake Swihart,Gre,92,344,44,90,17,4,7,53,6,2,26,68,0.262,0.307,0.395,0.702
Oscar Tejeda,Por,51,202,18,53,12,0,5,31,2,1,9,41,0.262,0.294,0.396,0.69
Mike Miller,Low,66,264,39,69,14,1,1,15,21,3,29,35,0.261,0.337,0.333,0.67
Cody Koback,Gre,90,331,37,86,12,2,4,37,19,4,19,85,0.26,0.32,0.344,0.665
Lars Anderson,Paw,93,340,49,88,22,2,9,52,1,0,56,89,0.259,0.359,0.415,0.774
Zach Gentile,PorSal,49,159,22,41,10,0,0,20,4,1,18,23,0.258,0.343,0.321,0.663
Alex Hassan,Paw,94,311,38,80,13,0,7,46,1,1,55,69,0.257,0.378,0.367,0.745
Dreily Guerrero,GreLow,59,219,24,56,10,0,0,20,11,5,18,65,0.256,0.311,0.301,0.613
Christian Vazquez,PorSal,100,364,54,93,21,0,7,46,2,2,48,78,0.255,0.346,0.371,0.717
