runpace,t1,city,swimpace,run_rank,sex_place,runtime,division
0:07:11,0:02:20,LOS ANGELES,0:17:46,219,38,0:44:35,F40-44
0:06:30,0:01:29,LOS ANGELES,0:17:48,61,76,0:40:21,M35-39
0:10:26,0:02:42,SANTA MONICA,0:21:54,2111,457,1:04:42,F45-49
0:07:31,0:01:23,PACIFIC PALISADES,0:15:24,334,74,0:46:42,M35-39
0:14:15,0:04:25,PACIFIC PALISADES,0:22:12,2858,933,1:28:24,F35-39
0:08:27,0:02:49,SAN MARINO,0:25:20,899,257,0:52:28,F25-29
0:08:48,0:02:28,LOS ANGELES,0:23:53,1122,839,0:54:35,M55-59
0:07:38,0:01:45,SHERMAN OAKS,0:21:23,394,516,0:47:25,M35-39
0:13:12,0:03:38,SANTA MONICA,0:15:49,2767,1265,1:21:54,M30-34
0:09:38,0:02:14,LOS ANGELES,0:14:58,1669,186,0:59:49,F20-24
0:13:26,0:05:00,LOS ANGELES,0:36:06,2795,1546,1:23:19,M40-44
0:07:48,0:02:16,LOS ANGELES,0:20:09,470,385,0:48:23,M30-34
0:10:08,0:04:31,LONG BEACH,0:23:02,1951,729,1:02:51,F20-24
0:11:35,0:04:14,REDONDO BEACH,0:25:15,2482,884,1:11:51,F35-39
0:11:26,0:07:24,BEVERLY HILLS,0:32:57,2443,1054,1:10:54,F35-39
0:08:52,0:05:03,MANHATTAN BEACH,0:21:38,1167,1021,0:55:00,M35-39
0:10:31,0:02:55,CHATSWORTH,0:21:52,2161,1467,1:05:15,M50-54
0:09:20,0:03:33,LOS ANGELES,0:19:39,1484,1062,0:57:54,M30-34
0:09:48,0:02:05,SHERMAN OAKS,0:20:22,1777,670,1:00:49,M40-44
0:13:45,0:05:33,SANTA MONICA,0:22:14,2818,1044,1:25:20,F35-39
0:10:51,0:03:46,WEST HILLS,0:19:52,2271,875,1:07:19,F16Under
0:09:49,0:02:51,BEVERLY HILLS,0:19:09,1789,960,1:00:58,M45-49
0:07:37,0:01:55,REDONDO BEACH,0:17:41,378,282,0:47:19,M40-44
0:11:38,0:04:06,LOS ANGELES,0:24:03,2493,929,1:12:11,F35-39
0:09:53,0:03:09,LOS ANGELES,0:16:50,1822,442,1:01:17,F25-29
0:12:16,0:03:22,VENICE,0:21:02,2641,1374,1:16:07,M30-34
0:10:24,0:02:45,SAN FRANCISCO,0:19:25,2094,515,1:04:34,F55-59
0:07:20,0:01:54,SANTA MONICA,0:20:00,266,324,0:45:29,M30-34
0:06:29,0:01:09,LAKE FOREST,0:13:53,58,28,0:40:18,MColg
0:08:37,0:05:44,MANHATTAN BEACH,0:20:51,1007,933,0:53:26,M60-64
0:10:59,0:04:34,CALABASAS,0:24:57,2305,1324,1:08:06,M50-54
0:08:22,0:03:16,HERMOSA BEACH,0:18:14,836,133,0:51:58,F45-49
0:08:32,0:05:22,RANCHO PALOS VERDES,0:20:32,957,795,0:52:59,M40-44
0:12:38,0:05:11,LOS ANGELES,0:25:51,2693,1055,1:18:25,F25-29
