FGA,FTM,3PM,TOV,GP
13.2,4.2,1.7,2.1,72
7.3,0.6,2.7,0.7,72
10.7,2.3,2.1,2.4,73
11.7,0.7,2.2,0.9,72
10.5,2.4,1.3,2.8,50
7.5,0.9,1.7,1.0,81
12.7,2.1,1.4,2.4,80
13.1,1.9,0.7,2.3,82
9.7,1.3,1.6,1.3,76
14.5,1.6,2.2,1.7,68
12.1,2.2,2.5,1.6,69
14.4,2.2,1.7,1.3,73
13.1,3.7,2.7,1.7,77
15.5,2.9,2.1,2.5,80
12.7,2.1,1.8,1.2,76
12.3,1.5,2.0,1.9,76
14.1,4.3,2.0,2.4,79
16.0,2.2,3.1,1.4,81
13.5,1.9,1.5,3.2,46
13.2,1.0,3.4,1.5,67
13.4,2.5,1.8,3.1,75
14.2,2.6,1.9,1.9,56
15.2,2.9,1.7,2.0,43
10.4,2.7,2.3,1.5,76
9.2,1.5,2.1,2.1,77
11.7,2.7,1.5,1.6,73
15.8,2.2,1.1,3.6,78
13.3,2.7,1.2,3.2,80
16.8,3.2,2.1,1.8,80
11.0,2.5,0.9,1.8,81
12.1,2.4,2.7,1.3,79
9.0,1.2,1.9,1.5,69
13.7,1.6,1.4,2.4,68
14.5,0.8,2.5,1.1,63
13.9,1.9,1.6,1.9,78
9.4,0.7,3.3,0.3,81
12.9,3.4,1.1,2.1,81
8.6,1.4,1.4,2.0,60
13.2,0.9,2.9,2.1,58
10.6,1.2,2.2,2.1,73
14.3,1.8,2.0,1.7,72
8.3,0.8,2.2,1.9,45
13.3,2.6,2.5,2.1,78
14.2,4.0,2.1,2.8,78
15.9,2.3,2.4,2.5,82
11.4,1.4,1.8,2.4,53
21.6,6.2,2.3,2.5,67
11.8,1.9,2.8,1.5,82
13.9,4.2,2.1,3.4,60
9.8,1.1,1.1,1.6,78
16.4,3.5,2.4,2.4,76
11.1,3.4,1.8,2.8,68
16.2,2.5,3.3,1.8,65
11.3,1.3,2.3,1.5,55
11.5,1.5,2.0,1.2,78
9.6,1.1,3.0,1.1,74
11.0,1.9,2.1,1.7,79
8.7,1.7,1.7,1.2,59
8.1,0.4,2.4,0.7,56
6.3,0.6,1.5,2.5,78
10.8,1.1,2.9,1.5,80
