MP,Date,DRB%
25:46,2007-01-31,25.2
18:54,2006-12-01,24.6
22:23,2007-03-14,22.6
20:32,2006-12-17,17.1
18:04,2007-02-28,14.0
16:53,2006-11-08,33.1
23:57,2007-02-26,34.4
16:51,2006-12-02,20.8
17:44,2006-11-05,21.4
14:40,2006-11-17,0.0
21:54,2007-01-15,17.3
22:11,2007-04-06,9.8
22:34,2007-04-09,31.1
19:44,2006-11-26,30.4
9:34,2007-01-09,12.9
21:34,2007-01-24,20.7
16:11,2007-02-24,10.8
12:12,2007-02-14,42.5
9:15,2007-03-18,10.6
18:37,2007-03-06,0.0
12:37,2006-11-10,28.5
23:36,2007-03-03,13.6
17:42,2006-12-11,46.5
31:39,2006-12-27,12.3
17:23,2007-03-26,7.1
19:24,2007-03-28,21.5
34:31,2006-12-22,12.1
9:55,2006-11-01,24.2
19:40,2007-03-07,11.4
19:02,2007-04-18,14.0
23:28,2007-04-15,14.6
35:44,2006-12-20,19.2
35:04,2007-02-02,4.0
22:10,2007-01-10,20.6
20:06,2007-04-04,7.7
15:36,2007-02-09,29.3
31:38,2007-01-05,15.2
16:07,2007-02-04,20.3
30:48,2007-02-07,16.0
13:03,2007-03-16,9.7
9:33,2006-11-14,9.9
13:23,2007-02-21,23.4
