Age,GmSc,USG%,TOV%,STL%,Rk
35-339,1.7,10.8,0.0,0.0,34
35-333,1.4,21.6,50.0,0.0,32
35-307,-3.5,35.3,28.8,3.0,21
35-270,3.7,19.2,33.8,0.0,6
35-264,-2.5,16.3,33.3,0.0,2
35-303,3.8,9.3,25.8,0.0,19
35-327,-0.6,13.8,25.0,0.0,29
36-048,10.4,15.4,0.0,0.0,62
36-024,-0.3,10.9,0.0,0.0,52
35-277,1.8,5.9,0.0,10.6,9
36-001,2.9,9.5,0.0,0.0,45
36-053,-0.7,21.9,66.7,0.0,64
35-350,3.5,9.4,0.0,2.7,37
35-348,0.3,7.6,0.0,0.0,36
35-293,0.9,0.0, ,0.0,14
35-322,3.1,11.9,0.0,0.0,26
36-067,5.5,17.3,26.6,0.0,70
36-064,4.8,10.6,0.0,0.0,68
36-054,0.0,0.0, ,0.0,65
36-034,-2.5,25.1,25.0,7.5,56
35-289,1.0,18.8,0.0,0.0,12
36-045,7.4,23.7,0.0,0.0,61
35-269,9.8,13.5,0.0,0.0,5
35-326,-0.4,7.5,0.0,0.0,28
