TOV%,GmSc,Date,GS,TRB%,ORtg,TS%
20.0,-3.2,1992-11-19,0,6.1,14,.000
40.0,-3.1,1993-03-02,0,20.2,21,.000
40.0,3.1,1993-02-25,0,9.0,96,.667
100.0,-2.4,1992-11-13,0,0.0,0, 
0.0,8.4,1993-02-13,1,13.7,175,.800
0.0,0.5,1992-12-02,0,27.3,66,.266
0.0,2.0,1993-04-02,0,21.1,124,.333
0.0,4.6,1993-03-15,0,8.2,110,.421
0.0,2.4,1993-01-02,0,0.0,202,1.000
25.4,0.6,1992-12-23,0,21.7,68,.170
17.0,1.7,1993-01-28,0,17.4,90,.410
40.0,-1.7,1992-12-09,0,0.0,39,.333
75.0,-1.5,1993-02-03,0,13.0,45,1.000
12.7,5.4,1993-03-05,0,8.0,111,.581
0.0,5.1,1993-01-12,0,11.6,175,.694
33.3,1.0,1992-12-04,0,9.7,77,.500
0.0,1.3,1993-02-23,0,0.0,122,.568
0.0,1.3,1992-12-26,0,4.4,113,.500
0.0,-0.6,1992-11-06,0,6.7,29,.000
0.0,1.7,1993-04-25,0,8.8,80,.282
25.0,7.5,1993-01-18,0,14.5,99,.556
8.3,14.0,1993-01-15,0,16.9,128,.677
15.5,-1.5,1993-03-23,0,0.0,47,.184
13.6,13.3,1993-03-03,0,18.0,122,.549
15.5,3.3,1992-12-11,0,15.0,102,.460
0.0,1.2,1993-04-09,0,9.5,97,.387
25.4,4.1,1993-04-23,0,28.2,88,.425
