USG%,eFG%,GS,BLK%
4.9,1.000,1,0.0
16.1,.750,1,0.0
21.1,.750,1,7.5
14.9,.750,0,2.9
25.3,.385,0,2.6
4.5,1.000,0,0.0
12.8,.333,0,0.0
10.3,.667,0,0.0
11.9,1.000,1,2.8
20.1,.250,0,0.0
7.2,.500,1,3.8
7.5,.000,1,6.2
28.8,.250,0,0.0
9.5,.333,1,7.0
0.0, ,0,7.2
7.4,1.000,1,5.1
12.3,.800,0,0.0
7.4,1.000,0,0.0
14.6,.750,0,8.0
17.6,.667,1,5.5
14.2,.500,1,3.6
21.6,.200,1,5.7
5.8,.500,1,0.0
6.7, ,0,0.0
13.9,.000,0,5.9
11.1,.667,1,3.2
32.5,.167,1,6.3
18.4,.200,1,0.0
26.6,1.000,1,0.0
11.0,.500,0,7.4
9.0,.400,1,4.4
12.8,.000,1,7.5
