SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1985 - 1986,HIFK,Liiga,36,23,1,12,-,-,178,134,47,2,Final loss
1986 - 1987,HIFK,Liiga,44,21,5,18,-,-,193,168,47,4,Bronze game loss
1987 - 1988,HIFK,Liiga,44,29,1,14,-,-,192,127,59,2,Bronze game win
1988 - 1989,HIFK,Liiga,44,22,4,18,-,-,163,159,48,6,Quarterfinal loss
1989 - 1990,HIFK,Liiga,44,25,4,15,-,-,176,158,54,3,Quarterfinal loss
1990 - 1991,HIFK,Liiga,44,22,1,21,-,-,169,163,45,5,Quarterfinal loss
1991 - 1992,HIFK,Liiga,44,22,3,19,-,-,183,166,47,6,Bronze game win
1992 - 1993,HIFK,Liiga,48,25,6,17,-,-,168,160,56,3,Quarterfinal loss
1993 - 1994,HIFK,Liiga,48,23,4,21,-,-,167,161,50,8,Quarterfinal loss
1994 - 1995,HIFK,Liiga,50,32,3,15,-,-,203,141,67,3,Quarterfinal loss
1995 - 1996,HIFK,Liiga,50,21,10,19,-,-,142,158,52,6,Quarterfinal loss
1996 - 1997,HIFK,Liiga,50,17,8,25,-,-,159,171,42,9,Did not make playoffs
1997 - 1998,HIFK,Liiga,48,29,5,14,-,-,179,115,63,2,Champion
1998 - 1999,HIFK,Liiga,54,34,6,14,-,-,209,104,74,2,Final loss
1999 - 2000,HIFK,Liiga,54,23,10,21,-,-,171,162,56,6,Bronze game loss
2000 - 2001,HIFK,Liiga,56,26,7,23,-,-,173,171,59,4,Quarterfinal loss
2001 - 2002,HIFK,Liiga,56,19,11,26,-,-,148,168,49,10,Did not make playoffs
2002 - 2003,HIFK,Liiga,56,23,9,24,-,-,177,165,57,7,Quarterfinal loss
2003 - 2004,HIFK,Liiga,56,30,9,17,-,-,181,142,72,3,Bronze game win
2004 - 2005,HIFK,Liiga,56,29,-,15,5,7,162,116,104,4,Quarterfinal loss
2005 - 2006,HIFK,Liiga,56,28,-,14,10,4,180,136,108,2,Bronze game loss
2006 - 2007,HIFK,Liiga,56,25,-,21,5,5,165,159,90,6,Quarterfinal loss
2007 - 2008,HIFK,Liiga,56,23,-,16,11,6,167,145,97,7,Quarterfinal loss
2008 - 2009,HIFK,Liiga,58,25,-,23,5,5,169,167,90,7,Playoffs Qualifier loss
2009 - 2010,HIFK,Liiga,58,30,-,20,6,2,185,152,104,4,Quarterfinal loss
2010 - 2011,HIFK,Liiga,60,31,-,11,6,12,199,140,117,3,Champion
2011 - 2012,HIFK,Liiga,60,33,-,21,6,0,194,149,111,3,Quarterfinal loss
2012 - 2013,HIFK,Liiga,60,26,-,24,3,7,153,163,91,8,Quarterfinal loss
2013 - 2014,HIFK,Liiga,60,25,-,26,4,5,147,145,88,9,Playoffs Qualifier loss
2014 - 2015,HIFK,Liiga,60,24,-,21,9,6,177,150,96,7,Quarterfinal loss
