GIDP,G,SB
1,31,6
6,89,5
13,109,2
4,68,11
0,5,0
1,55,5
3,69,8
0,2,0
8,89,21
6,63,4
2,33,2
8,62,1
1,2,0
8,109,11
8,107,1
0,14,1
3,40,5
4,34,0
0,22,0
0,3,1
2,30,1
8,53,2
5,38,0
5,108,9
1,2,0
1,52,5
5,54,2
7,119,17
6,38,0
5,35,0
7,62,2
5,117,11
4,69,2
2,20,0
2,30,2
6,54,0
7,111,13
2,8,0
2,49,2
2,77,15
2,80,3
1,7,0
7,109,2
1,40,4
6,121,1
12,124,6
1,128,19
10,109,5
6,98,3
2,70,10
1,29,2
7,126,19
2,11,0
2,45,1
2,51,6
8,71,2
5,100,6
0,10,0
12,75,1
1,27,0
3,57,1
6,86,2
4,124,20
7,78,3
7,108,11
11,134,5
4,47,0
8,90,5
1,34,3
4,68,3
2,46,3
7,112,18
3,95,11
0,26,0
3,47,7
7,44,0
7,111,23
