pct,m,a/s,sa/s,digs,pts/s,Name,Rk
0.222,19,7.45,0.32,116,0.6,J Davis,41
0.105,22,0.25,0.09,59,1.3,T Whitmore,17
0.32,29,4.72,0.48,161,0.6,K Boswell,7
0.153,30,0.29,0.01,39,1.6,A Weber,1
0.185,21,0.08,0.0,51,2.8,K Parmenter,24
0.198,27,0.13,0.17,264,4.2,S Pruden,11
0.029,30,0.25,0.23,472,0.3,K Dangel,1
0.087,18,0.1,0.16,187,0.3,M Hartman,50
-0.039,22,0.04,0.11,63,0.3,S Anderson,17
0.151,28,0.08,0.07,63,2.5,K Thomas,10
-0.058,27,0.43,0.23,200,0.3,M Yoder,11
0.19,21,0.04,0.0,40,2.6,L Ketron,24
-0.056,20,0.13,0.1,156,0.1,R D'Agnillo,33
0.03,21,0.2,0.22,172,0.5,M Sexton,24
-0.075,20,0.08,0.27,198,0.4,H Phillips,33
0.038,26,0.04,0.0,17,1.4,D Clark,14
0.136,20,0.05,0.17,55,2.8,E Romito,33
0.241,30,0.13,0.09,46,2.3,C Fiutem,1
