AB,Player,OBP,Team,3B
392,T Vincent,.285,FTW,2
93,D Castillo,.306,KCC,0
448,S Rodriguez,.371,CED,3
445,I Falu,.343,BUR,5
287,J Justice,.275,WMI,5
57,P Maestrales,.435,BUR,1
38,D Hall,.293,WIS,0
171,B Figueroa,.268,FTW,0
181,H Hernandez,.301,DAY,1
17,R Bouman,.316,SWM,0
143,A Fermin,.376,BEL,1
30,J Douillard,.250,PEO,0
425,E Lucas,.355,BUR,4
365,T Everidge,.370,KCC,3
408,C Snavely,.390,LAN,2
391,D Toussaint,.345,CED,3
13,A Quintana,.143,LAN,0
421,J Piepkorn,.328,DAY,3
353,R Giannotti,.290,CED,2
115,W Perez,.301,BUR,0
472,M Leslie,.377,KCC,2
394,R Padron,.306,KCC,2
21,R Arias,.240,KCC,0
393,C Kolkhorst,.392,FTW,1
38,J Ellis,.256,BUR,0
200,D Corrente,.287,LAN,1
198,D Salazar,.270,BUR,0
3,T Johnston,.250,FTW,0
13,C Remole,.357,CED,0
29,G Dini,.273,CED,0
52,M Reed,.167,PEO,1
62,J Wolfe,.377,LAN,0
185,R Ankiel,.368,QC,1
7,J Delgado,.250,QC,0
290,C Pennington,.364,KCC,0
263,M Parrish,.314,WMI,0
343,E Solis,.326,BUR,0
100,A Graham,.234,WMI,0
385,T Hulett,.402,CLI,3
72,B Johnson,.337,CED,1
368,D Hicks,.303,LAN,4
96,D Norman,.358,BUR,0
17,S Herbert,.263,QC,0
182,A Peel,.407,CED,0
209,A Garcia,.366,PEO,1
32,C Johnson,.308,FTW,1
202,K Richardson,.369,CLI,1
178,S Boucher,.411,WIS,2
375,Y Rodriguez,.293,LAN,1
405,W Madrigal,.288,CED,2
192,A Cabrera,.407,WIS,3
204,A Mathews,.352,LAN,5
176,J Peralta,.340,LAN,3
168,C Cannon,.351,LAN,2
95,C Hayes,.270,QC,0
217,A Mottram,.376,SOU,1
211,C Kroski,.349,DAY,3
134,A Rosales,.378,DAY,0
230,P Rutgers,.304,BEL,1
95,J Rios,.305,PEO,0
202,S Young,.326,WMI,0
278,J Pineda,.354,KCC,2
310,P Cottrell,.315,SWM,1
467,R Harvey,.302,PEO,2
0,B Killian,--,FTW,0
15,C Headley,.250,FTW,0
249,A Rick,.281,PEO,3
19,B Schweiger,.435,WIS,0
27,J Reiman,.179,LAN,0
278,D Espino,.329,BUR,0
123,T Buck,.427,KCC,0
1,J Mendez,1.000,QC,0
328,L Dale,.239,FTW,0
280,C Walston,.205,CED,0
83,W Long,.277,KCC,1
360,J Herrera,.374,KCC,2
365,P Gentry,.323,DAY,7
318,J Purdom,.366,DAY,0
254,A Granato,.385,PEO,4
143,C Tietje,.308,KCC,1
484,J Armstrong,.335,LAN,0
128,C Tatum,.311,DAY,1
104,B Fryer,.327,FTW,1
34,S Harris,.200,PEO,0
111,R Mora,.276,FTW,1
181,L Baez,.281,CLI,0
47,H Anderson,.204,SWM,0
241,D Ryan,.255,WMI,0
134,C Coughlan,.450,CLI,2
168,J Simokaitis,.289,PEO,2
314,N Sutton,.332,CED,5
133,B Yarbrough,.272,QC,1
36,A Sanders,.381,LAN,0
424,D Larsen,.337,PEO,4
51,J Buhagiar,.161,SOU,0
357,J Mullinax,.348,QC,4
305,R Johnson,.319,WIS,1
17,J Maduro,.167,BUR,0
303,T Lawhorn,.294,DAY,4
