Name,Country,sex,tour,sl,tr,ju,yob,class,round,date,place,site id,line/ramp,speed
 , , , , , , , , , , , , , , 
RYANZIN Vladimir,RUS,M,08S112R,0.0,0.0,49.5,1975.0,L,1.0,05/18/2008,15.0,USAS0355,0.255,57.0
 , , , , , , , , , , , , , , 
RYANZIN Vladimir,RUS,M,08AUT03,0.0,0.0,52.4,1975.0,L,1.0,06/22/2008,2.0,AUTTWWUT,0.271,57.0
 , , , , , , , , , , , , , , 
RYANZIN Vladimir,RUS,M,08AUT03,0.0,0.0,57.2,1975.0,L,2.0,06/22/2008,2.0,AUTTWWUT,0.271,57.0
 , , , , , , , , , , , , , , 
RYANZIN Vladimir,RUS,M,08AUT03,47.0,0.0,0.0,1975.0,L,2.0,06/22/2008,10.0,AUTTWWUT,5.00@13.000,58.0
 , , , , , , , , , , , , , , 
RYANZIN Vladimir,RUS,M,08AUT03,0.0,0.0,54.2,1975.0,L,3.0,06/22/2008,2.0,AUTTWWUT,0.271,57.0
 , , , , , , , , , , , , , , 
RYANZIN Vladimir,RUS,M,08GER01,0.0,0.0,59.5,1975.0,R,1.0,06/29/2008,6.0,GERAMBE,0.271,57.0
 , , , , , , , , , , , , , , 
RYANZIN Vladimir,RUS,M,08GER01,44.5,0.0,0.0,1975.0,L,1.0,06/29/2008,11.0,GERAMBE,2.50@13.000,58.0
 , , , , , , , , , , , , , , 
RYANZIN Vladimir,RUS,M,08GER01,0.0,0.0,58.8,1975.0,R,2.0,06/29/2008,6.0,GERAMBE,0.271,57.0
 , , , , , , , , , , , , , , 
RYANZIN Vladimir,RUS,M,08GER01,45.0,0.0,0.0,1975.0,L,2.0,06/29/2008,11.0,GERAMBE,3.00@13.000,58.0
 , , , , , , , , , , , , , , 
RYANZIN Vladimir,RUS,M,08GER01,0.0,0.0,59.3,1975.0,R,3.0,06/29/2008,6.0,GERAMBE,0.271,57.0
 , , , , , , , , , , , , , , 
RYANZIN Vladimir,RUS,M,08EAME02,0.0,0.0,57.9,1975.0,R,1.0,08/13/2008,19.0,SWE0413,0.271,57.0
 , , , , , , , , , , , , , , 
RYANZIN Vladimir,RUS,M,08EAME02,45.0,0.0,0.0,1975.0,R,1.0,08/13/2008,21.0,SWE0413,3.00@13.000,58.0
 , , , , , , , , , , , , , , 
RYANZIN Vladimir,RUS,M,08EAME03,0.0,0.0,61.1,1975.0,R,1.0,08/17/2008,7.0,SWE0413,0.271,57.0
 , , , , , , , , , , , , , , 
RYANZIN Vladimir,RUS,M,08EAME03,45.5,0.0,0.0,1975.0,R,1.0,08/17/2008,40.0,SWE0413,3.50@13.000,58.0
 , , , , , , , , , , , , , , 
RYANZIN Vladimir,RUS,M,08EAME03,0.0,0.0,60.4,1975.0,R,2.0,08/17/2008,7.0,SWE0413,0.271,57.0
