AB,Pos,SF,RBI,Team,AVG,SO
18,SS,0,1,TOR,0.167,2
385,SS,4,35,LAA,0.278,51
404,3B,3,56,BAL,0.292,69
57,C,0,3,NYM,0.123,24
38,C,0,1,SEA,0.079,8
285,2B,1,23,OAK,0.246,39
282,SS,1,35,PIT,0.294,63
392,OF,1,71,DET,0.288,118
347,1B,1,36,SEA,0.222,61
72,2B,0,3,TB,0.139,24
12,OF,0,1,HOU,0.25,5
11,OF,0,0,BAL,0.182,2
11,1B,0,1,STL,0.182,1
323,SS,3,53,COL,0.3,72
242,OF,3,21,HOU,0.231,72
417,2B,2,47,DET,0.297,62
133,OF,1,22,CLE,0.271,34
399,SS,3,44,CHC,0.236,72
81,3B,1,6,LAD,0.247,9
405,OF,0,66,SEA,0.321,97
357,C,4,38,STL,0.286,48
21,OF,0,3,NYY,0.286,3
241,C,1,25,DET,0.282,53
373,3B,2,55,MIN,0.255,74
153,SS,2,21,CIN,0.301,40
128,C,1,13,ARI,0.211,23
392,3B,6,80,COL,0.278,61
10,2B,0,0,PIT,0.0,4
383,1B,4,44,MIN,0.269,70
33,C,0,4,ATL,0.273,5
108,3B,2,16,MIL,0.213,26
41,SS,0,5,TEX,0.195,16
77,OF,0,5,ATL,0.169,17
207,OF,3,31,STL,0.29,44
183,C,0,22,COL,0.273,44
339,OF,1,19,TB,0.242,69
323,3B,0,40,SD,0.266,39
210,OF,1,16,OAK,0.21,42
231,OF,0,28,HOU,0.264,49
273,SS,2,19,PIT,0.242,48
25,3B,0,2,NYM,0.2,6
123,OF,4,12,WAS,0.203,31
144,1B,0,17,NYY,0.215,37
40,2B,0,2,ATL,0.325,5
380,3B,4,43,NYY,0.276,84
9,2B,0,1,BOS,0.333,2
272,1B,3,36,DET,0.246,34
147,C,1,12,MIL,0.184,42
156,2B,0,6,PIT,0.212,43
305,3B,3,51,PIT,0.233,85
32,1B,0,5,SD,0.313,10
10,OF,1,1,TOR,0.0,0
72,C,0,13,CHC,0.333,22
346,3B,5,61,CHC,0.246,126
379,SS,6,38,CWS,0.237,46
61,OF,1,8,SEA,0.262,18
372,2B,2,42,PIT,0.272,79
387,2B,3,44,STL,0.271,65
10,SS,0,2,OAK,0.2,1
30,OF,1,7,CLE,0.333,9
141,OF,0,9,CIN,0.22,27
48,C,0,12,DET,0.271,10
176,OF,1,24,BAL,0.227,45
73,OF,0,7,LAA,0.288,7
133,C,2,16,CLE,0.226,49
6,2B,0,0,CHC,0.167,1
403,3B,4,67,CIN,0.268,78
126,SS,0,7,MIL,0.183,40
346,1B,3,47,CLE,0.228,77
370,OF,6,66,PIT,0.289,80
201,OF,1,23,MIL,0.229,62
54,OF,0,7,DET,0.259,13
52,OF,0,2,BOS,0.135,17
143,C,1,23,OAK,0.266,28
234,SS,3,31,MIN,0.239,56
165,OF,1,11,STL,0.224,45
193,3B,2,20,CLE,0.218,37
77,1B,0,5,LAA,0.26,14
319,1B,1,40,BOS,0.207,95
361,2B,6,37,LAA,0.263,49
17,3B,0,2,NYM,0.235,4
243,OF,1,38,STL,0.288,80
256,OF,0,25,SD,0.25,70
333,1B,2,36,CWS,0.219,113
19,1B,0,2,STL,0.158,4
38,OF,1,2,OAK,0.079,13
5,SS,0,1,TOR,0.0,1
303,2B,3,34,BOS,0.287,41
376,1B,1,61,LAD,0.293,64
21,C,0,0,MIL,0.048,7
35,1B,0,8,PIT,0.229,11
89,3B,0,7,MIL,0.236,17
416,3B,5,77,TOR,0.293,89
38,OF,0,4,ATL,0.237,10
95,SS,1,7,HOU,0.263,27
12,OF,0,0,SEA,0.0,6
19,C,0,1,ARI,0.158,12
66,C,2,8,ARI,0.242,14
392,OF,3,39,TOR,0.268,60
127,C,0,19,CWS,0.244,42
63,OF,0,3,LAD,0.206,14
68,OF,0,3,NYM,0.206,25
101,1B,1,8,CLE,0.198,24
95,SS,1,9,DET,0.284,27
190,1B,2,19,OAK,0.237,36
274,OF,3,38,HOU,0.237,99
354,DH,3,59,BOS,0.246,63
209,OF,1,26,LAD,0.249,49
244,C,3,29,HOU,0.225,75
277,1B,1,54,DET,0.35,55
92,3B,0,2,CIN,0.141,23
83,OF,0,6,TOR,0.193,22
91,2B,0,6,LAD,0.242,19
364,SS,4,67,SF,0.266,84
63,OF,1,2,TB,0.222,9
32,OF,0,0,NYY,0.219,4
366,OF,0,26,PHI,0.298,36
79,OF,0,12,NYM,0.203,27
395,OF,3,58,LAA,0.281,94
76,OF,1,7,MIA,0.263,13
251,SS,2,19,NYM,0.251,49
152,OF,0,17,KC,0.237,30
10,SS,0,1,MIN,0.3,1
358,3B,4,50,DET,0.237,98
215,2B,3,27,TOR,0.228,43
305,3B,2,22,PIT,0.279,48
354,SS,4,51,BOS,0.266,60
112,C,0,9,BOS,0.241,21
5,OF,0,0,BOS,0.2,1
57,OF,0,2,CHC,0.246,14
69,SS,0,4,SEA,0.159,13
379,2B,0,42,COL,0.322,73
58,3B,0,4,SF,0.207,12
353,OF,2,58,OAK,0.283,39
253,C,1,41,LAD,0.292,60
15,C,0,2,CHC,0.2,4
91,SS,0,11,PHI,0.286,14
32,OF,0,5,TB,0.188,10
384,1B,2,58,KC,0.315,71
127,3B,0,11,SF,0.213,28
397,SS,4,54,STL,0.285,75
198,C,3,20,CLE,0.227,57
49,OF,0,0,OAK,0.082,10
54,OF,0,4,SD,0.204,19
220,OF,2,16,KC,0.241,36
128,OF,1,21,BOS,0.305,28
87,OF,0,7,SD,0.218,28
405,2B,6,39,CLE,0.326,69
206,OF,2,33,PHI,0.272,41
213,2B,0,19,MIL,0.249,41
407,2B,6,57,MIN,0.251,100
271,OF,2,37,LAD,0.28,46
105,SS,0,13,CHC,0.248,15
148,SS,0,10,SD,0.264,41
292,OF,4,50,ARI,0.284,73
30,3B,0,2,PIT,0.133,2
44,1B,1,6,HOU,0.205,16
141,SS,3,16,TB,0.206,25
45,C,0,4,NYM,0.178,10
30,1B,0,3,ARI,0.167,10
212,C,1,37,BAL,0.25,50
8,C,0,3,TEX,0.5,0
122,OF,0,12,BAL,0.213,31
189,2B,2,22,BAL,0.217,56
309,DH,5,47,HOU,0.181,121
403,3B,2,44,SEA,0.27,57
354,C,4,43,KC,0.243,56
370,SS,0,30,ATL,0.254,29
15,C,0,0,LAD,0.267,4
75,2B,1,5,LAA,0.133,29
8,SS,0,0,WAS,0.125,1
304,OF,2,38,CIN,0.25,82
182,3B,1,34,ATL,0.275,43
119,SS,2,12,LAD,0.277,29
5,SS,0,0,KC,0.0,3
36,OF,0,4,CIN,0.194,6
35,OF,1,5,STL,0.4,6
97,OF,2,11,CWS,0.278,9
391,OF,0,25,CWS,0.269,79
359,2B,3,29,KC,0.228,59
194,SS,3,28,CIN,0.258,29
98,OF,0,6,PHI,0.245,23
143,OF,1,14,CHC,0.28,32
73,SS,0,3,TEX,0.247,11
70,OF,1,9,TEX,0.186,36
387,OF,2,27,CHC,0.243,94
5,1B,0,0,SF,0.0,3
174,SS,2,19,CLE,0.253,34
45,OF,1,3,BOS,0.111,13
58,OF,1,8,MIN,0.276,15
49,OF,0,5,HOU,0.143,17
7,3B,0,1,PIT,0.286,3
218,2B,6,25,PHI,0.179,32
21,SS,0,3,DET,0.381,8
375,2B,4,35,SF,0.309,42
159,DH,0,15,MIN,0.245,48
6,OF,0,0,LAA,0.333,1
286,C,1,37,COL,0.301,61
127,C,0,11,DET,0.173,48
242,OF,1,33,NYY,0.26,52
25,OF,0,0,PIT,0.04,8
378,OF,2,68,LAA,0.31,100
127,SS,2,10,ARI,0.236,26
301,OF,0,24,CHC,0.249,59
7,SS,0,0,BOS,0.143,2
365,SS,1,33,LAD,0.216,55
58,OF,1,8,TB,0.241,14
160,C,0,14,BOS,0.244,44
130,SS,1,12,MIN,0.262,20
48,3B,0,4,MIA,0.208,6
368,OF,4,57,CLE,0.302,32
66,OF,1,7,BOS,0.152,17
57,OF,1,8,CHC,0.211,15
383,2B,2,23,MIA,0.329,63
166,OF,2,14,ATL,0.205,55
357,SS,2,29,PHI,0.277,68
35,3B,0,1,LAA,0.2,15
82,1B,1,6,OAK,0.207,24
405,2B,3,45,SEA,0.262,72
372,OF,3,56,PIT,0.288,92
