Age,Tm,PO,Name,G,RsbP,DP,GS,CG,RF/9
30,CLE,0,Cliff Lee,22,0,1,22,3,1.48
26,DET,0,Jeremy Bonderman,8,0,0,1,0,0.00
28,DET,0,Eddie Bonine,10,1,1,4,0,1.57
28,CLE,0,Roberto Hernandez,24,0,2,24,0,2.08
25,OAK,0,Jerry Blevins,20,0,0,0,0,0.40
25,CHW,0,Lance Broadway,8,0,0,0,0,2.25
38,BOS,0,Paul Byrd,7,0,1,6,0,1.85
37,BOS,0,Billy Wagner,15,0,0,0,0,1.32
28,TOR,0,Bill Murphy,8,0,1,0,0,3.18
26,LAA,0,Ervin Santana,24,-1,1,23,2,0.97
30,LAA,0,Matt Palmer,40,-1,1,13,1,1.26
40,OAK,0,Russ Springer,48,0,0,0,0,0.22
26,TEX,0,Josh Rupe,4,0,0,0,0,1.93
26,CHW,0,Wes Whisler,3,0,0,0,0,0.00
28,DET,0,Clay Rapada,3,0,0,0,0,2.70
28,TOT,0,Sean Henn,20,0,1,0,0,1.26
34,KCR,2,Jamey Wright,65,1,2,0,0,1.94
28,OAK,1,Craig Breslow,60,0,0,0,0,1.46
28,TEX,2,Dustin Nippert,20,-1,0,10,0,1.03
34,NYY,0,Damaso Marte,21,0,0,0,0,0.68
26,TEX,0,Darren O'Day,64,0,0,0,0,1.13
 , ,1,LgAvg,65, ,2,17,1,1.54
32,CHW,1,D.J. Carrasco,49,2,2,1,0,2.41
28,NYY,0,Nick Swisher,1,0,0,0,0,0.00
25,TOT,2,Scott Kazmir,26,1,0,26,0,1.10
22,CHW,0,Daniel Hudson,6,0,0,2,0,1.45
26,SEA,2,Jason Vargas,23,2,3,14,0,1.57
23,NYY,0,Phil Hughes,51,0,0,7,0,0.94
31,DET,0,Bobby Seay,67,0,0,0,0,1.29
28,KCR,0,Brian Bannister,26,-2,1,26,0,1.99
24,CHW,5,John Danks,32,1,1,32,1,1.80
25,BOS,6,Jon Lester,32,0,1,32,2,1.37
30,OAK,1,Michael Wuertz,74,-1,0,0,0,1.26
22,CLE,3,Carlos Carrasco,5,1,0,5,0,3.22
36,CHW,1,Bartolo Colon,12,1,0,12,0,1.88
33,BOS,1,Hideki Okajima,68,1,0,0,0,1.33
30,SEA,1,Erik Bedard,15,0,0,15,0,1.08
25,OAK,1,Dallas Braden,22,2,1,22,0,1.38
25,CHW,6,Clayton Richard,26,2,1,14,1,1.72
27,BAL,0,Bob McCrory,7,0,0,0,0,1.23
32,BAL,0,George Sherrill,42,0,0,0,0,0.44
31,BOS,0,Brad Penny,24,-4,0,24,0,1.16
30,CHW,8,Mark Buehrle,33,3,5,33,1,2.28
23,BAL,0,Brad Bergesen,19,1,2,19,1,2.85
28,CLE,0,Mike Gosling,15,0,0,0,0,0.72
38,SEA,0,Miguel Batista,56,0,0,0,0,1.51
27,CHW,0,Tony Pena,35,-1,0,0,0,1.50
32,CHW,1,Matt Thornton,70,1,2,0,0,1.37
26,SEA,0,Ryan Rowland-Smith,15,1,1,15,0,0.28
24,BOS,0,Daniel Bard,49,-1,1,0,0,1.09
34,TEX,0,Kevin Millwood,31,0,4,31,3,1.59
24,TEX,0,Pedro Strop,7,0,0,0,0,1.29
30,KCR,0,Gil Meche,23,-2,2,23,1,2.02
25,KCR,4,Luke Hochevar,25,-1,1,25,2,1.89
25,TEX,0,Guillermo Moscoso,10,0,0,0,0,0.64
34,DET,0,Jarrod Washburn,8,0,0,8,0,1.88
28,TOR,0,Jesse Carlson,73,0,1,0,0,2.53
26,MIN,0,Glen Perkins,18,-1,1,17,0,1.03
28,BAL,0,Alfredo Simon,2,0,0,2,0,2.84
39,NYY,0,Mariano Rivera,66,0,1,0,0,2.44
23,BOS,0,Junichi Tazawa,6,0,0,4,0,0.36
33,TOT,0,Carl Pavano,33,-4,2,33,1,1.49
28,CLE,0,Rich Rundles,1,0,0,0,0,0.00
24,LAA,0,Rich Thompson,13,-1,0,0,0,0.47
25,TEX,0,Warner Madrigal,13,0,0,0,0,0.71
23,LAA,0,Anthony Ortega,3,0,0,3,0,1.42
24,NYY,0,Mike Dunn,4,0,0,0,0,0.00
26,OAK,0,Jay Marshall,10,0,0,0,0,2.45
28,TOR,0,Brian Wolfe,14,0,0,0,0,0.59
26,CHW,0,Gavin Floyd,30,-1,1,30,1,1.45
26,CLE,0,Zach Jackson,3,0,0,1,0,2.08
33,TOR,0,Shawn Camp,59,1,2,0,0,2.03
28,TEX,0,C.J. Wilson,74,0,2,0,0,1.95
42,BOS,0,John Smoltz,8,0,1,8,0,2.48
28,TBR,0,Dale Thayer,11,0,0,0,0,0.66
27,MIN,1,Jesse Crain,56,0,1,0,0,2.44
33,TOR,1,B.J. Ryan,25,1,0,0,0,1.31
27,SEA,0,Randy Messenger,12,0,0,0,0,0.87
27,KCR,0,Rob Tejeda,35,-1,1,6,0,0.98
31,TBR,0,Grant Balfour,73,0,1,0,0,0.53
