I,A,F
2,ANA,Predators
2,ANA,Ducks
2,ANA,Maple Leafs
2,ANA,Ducks
2,ANA,Penguins
3,ANA,Canucks
 ,ATL,Thrashers
2,ANA,Oilers
2,ANA,Canucks
3,ATL,Red Wings
2,ANA,Ducks
1,ATL,Panthers
4,ANA,Ducks
2,ANA,Ducks
2,ANA,Red Wings
3,ANA,Ducks
4,ANA,Ducks
3,ANA,Ducks
3,ANA,Ducks
2,ANA,Ducks
3,ATL,Thrashers
1,ANA,Blues
2,ANA,Bruins
2,ANA,Ducks
2,ANA,Ducks
4,ANA,Ducks
 ,ANA,Sharks
1,ANA,Canadiens
3,ANA,Senators
1,ANA,Stars
1,ANA,Wild
2,ANA,Ducks
5,ANA,Ducks
4,ANA,Stars
1,ATL,Thrashers
3,ANA,Ducks
3,ANA,Ducks
1,ANA,Ducks
3,ANA,Blackhawks
1,ANA,Ducks
3,ANA,Ducks
 , , 
1,ANA,Avalanche
3,ATL,Lightning
2,ATL,Rangers
1,ANA,Predators
1,ANA,Ducks
2,ANA,Blackhawks
2,ANA,Kings
4,ANA,Ducks
3,ANA,Sabres
2,ANA,Ducks
2,ANA,Ducks
3,ANA,Ducks
4,ATL,Thrashers
2,ATL,Devils
1,ANA,Coyotes
