FGA,3P%,Player,FT%,ORB,MPG,BPG
1.8,0.125,Jaaron Simmons,0.706,0.0,11.0,0.0
5.6,0.0,Marcus Cousin,0.735,2.1,22.5,1.5
9.6,0.325,Danuel House,0.711,1.6,28.6,0.5
5.3,0.332,Marcus Malone,0.698,0.5,19.3,0.1
1.8,0.0,Anthony Jones,1.0,0.4,6.6,0.4
12.0,0.336,Andre Owens,0.736,1.1,35.8,0.2
2.5,0.324,Bryan Shelton,0.793,0.2,16.7,0.1
0.8,0.0,Kyle Hatcher,1.0,0.0,1.2,0.0
5.0,0.395,Lamar Roberson,0.75,1.0,12.9,0.5
2.1,0.0,Englebert Cherrington,0.444,1.5,11.3,0.3
0.5,0.25,Adam Drexler,0.333,0.4,2.4,0.0
1.4,0.0,Sergio de Randamie,0.622,1.1,11.2,0.6
4.3,0.269,Dwight Jones II,0.647,0.6,11.4,0.0
2.9,0.352,Tione Womack,0.625,0.3,19.0,0.1
2.8,0.333,Trumaine Johnson,0.333,0.2,16.0,0.1
1.2,0.0,Darrius Brannon,0.4,0.8,8.6,0.2
0.1,0.0,Jamon Wilson,0.0,0.0,1.1,0.0
0.0,0.0,Grega Nachbar,0.0,0.0,1.0,0.0
4.6,0.338,Kirk Van Slyke,0.802,0.8,12.4,0.4
0.2,0.0,Bryce Clark,0.0,0.1,3.2,0.2
0.2,0.0,Donald Brooks,0.0,0.0,1.7,0.0
7.7,0.347,L.J. Rose,0.712,0.4,30.9,0.1
8.3,0.4,Adam Brown,0.726,0.8,25.7,0.2
2.1,0.0,Rodney Hannah,0.5,1.2,11.6,0.5
8.1,0.417,Alandise Harris,0.646,2.1,26.7,1.1
8.1,0.345,Lanny Smith,0.696,0.5,29.0,0.1
6.7,0.282,Brian Latham,0.615,1.0,28.8,0.6
0.0,0.0,Jared Lyons,0.0,0.0,1.4,0.0
9.6,0.358,Jherrod Stiggers,0.721,0.7,26.5,0.2
0.6,0.333,Charlie Jones,0.6,0.1,11.3,0.0
