BB,2B,Player,SF,RBI,CS,HR
0,0,S Mende,0,0,0,0
11,3,S Rodriguez,2,4,0,0
2,1,A Hedges,0,0,0,0
15,6,R Schwartz,0,13,1,5
14,16,B Krill,3,43,4,6
13,10,B Zapenas,4,18,0,1
49,13,P Hoilman,1,44,0,17
14,13,B Fuenmayor,1,29,0,6
6,0,J Ballard,0,7,0,1
5,2,K Socorro,1,6,0,0
11,8,C Bell,2,17,0,1
5,6,D Harrington,0,4,1,0
29,8,S Payne,0,19,6,0
19,11,J Ribera,1,33,1,5
23,13,B Humphries,1,27,2,2
30,11,J Simon,1,34,3,5
5,5,J Kim,0,11,0,2
21,12,J Miller,1,14,3,0
3,0,C Tyrell,0,0,0,0
1,4,M Johnson,1,6,0,0
28,16,J Blash,1,43,3,11
21,9,J Staley,0,30,0,8
24,17,R Casteel,2,30,5,1
24,4,L Reyes,0,17,2,2
0,0,N Urbanus,0,0,0,0
16,13,Z Kometani,1,39,0,4
0,0,C Romero,0,0,0,0
31,10,C Spangenberg,2,20,4,1
13,9,Z Jones,0,14,1,2
17,0,D Brock,1,8,2,1
19,7,J Langfels,1,24,2,5
16,4,R Navarro,2,13,2,0
8,4,O Zapata,1,10,3,2
5,8,C Moore,2,11,0,1
10,7,L Gonzalez,0,15,0,1
18,6,K Patterson,2,21,0,5
28,14,M Murray,3,48,0,6
5,6,B Kervin,1,7,3,0
2,0,R Ingram,0,1,1,0
3,2,D Garce,0,5,0,1
2,2,M Argyropoulos,0,6,1,0
3,1,D Killian,0,1,1,1
7,4,M Dowd,1,16,0,2
18,9,M Newman,4,17,5,3
4,2,E Boike,0,2,1,0
0,1,D Altobelli,0,5,0,1
29,14,W Darvill,0,12,4,0
