Player,2B,HR,H,SLG
J Petersen,14,6,75,.334
R Diaz,21,3,128,.383
A Turay,12,9,65,.398
T Rogers,0,0,3,.143
G Harris,0,0,5,.385
A Hernandez,0,0,1,.111
M Thayer,11,2,58,.312
A Asprilla,5,0,12,.415
C Thomas,30,6,136,.367
D Ambrosini,4,1,17,.252
V Mendez,11,4,48,.450
S Gendron,6,0,61,.253
R Pena,4,0,61,.317
C Lisk,0,0,0,.000
J Brown,0,0,3,.188
J Lucena,16,3,141,.347
C Corporan,14,3,76,.351
J Kreuzer,19,7,48,.471
J Purdom,14,2,76,.307
H Garcia,0,0,0,--
R Davenport,24,11,76,.561
B Peterson,21,21,130,.497
C Moore,5,1,18,.317
J Sprowl,1,0,6,.137
J Christy,0,0,1,.063
F Martinez,4,5,23,.387
L Bolivar,0,1,6,.273
B Yarbrough,5,1,32,.292
R Laya,2,0,49,.270
D Morales,1,0,9,.278
T Piazza,1,2,11,.391
J Beachum,0,0,4,.235
E Nielsen,16,6,115,.376
K Feiner,7,1,52,.262
K Phillips,4,3,51,.296
J Williams,0,2,3,.600
J Frazier,21,13,120,.346
A Cazana,6,4,24,.494
D Gonzalez,3,0,33,.250
C Mendoza,4,4,31,.409
J Figueroa,9,8,50,.353
R Barthelemy,29,14,125,.454
J Fox,15,16,78,.574
R Patterson,25,19,102,.520
R Mathias,4,1,16,.274
K Padgett,2,1,12,.304
R Sierra,1,0,3,.333
B Carroll,12,8,52,.417
R Carter,7,3,27,.417
M Holmann,2,0,18,.310
S Fasano,0,0,1,.083
J Johnson,22,12,95,.431
S Bowman,5,3,30,.387
M Jaramillo,1,1,10,.359
B Malek,3,0,7,.455
P Janish,17,9,93,.421
D Cummins,2,2,10,.367
M Abreu,1,0,3,.444
D Anderson,19,4,98,.450
G McKinney,10,12,57,.364
A Gonzalez,12,6,50,.396
R Coultas,3,0,21,.167
O Guevara,0,0,0,.000
S Tolleson,8,4,42,.408
P Borders,3,1,13,.264
A Weston,4,2,42,.310
B Toops,1,0,7,.222
E Gonzalez,8,2,22,.480
B Gardner,12,0,75,.418
M Costanzo,33,14,130,.411
B Mathews,1,0,1,.333
J Martinez,0,0,0,.000
A Casilla,12,0,107,.406
B Dlugach,24,5,119,.366
S Pedroza,2,3,6,.436
G Brown,2,0,16,.182
M Linares,3,0,23,.187
G Golson,11,6,42,.472
H Iribarren,12,2,127,.384
A Mathews,23,9,130,.412
F Parejo,18,5,82,.349
C Rasmus,4,5,49,.404
B Roberts,17,4,156,.355
B Davis,21,4,91,.363
K West,1,1,4,.444
J Coronado,20,0,123,.278
S Sollmann,16,1,98,.339
T Cowgill,0,0,0,.000
M Dzurilla,5,0,26,.275
A Heether,10,3,36,.331
C Roberson,4,0,15,.344
T Plouffe,26,4,112,.347
C Gutierrez,9,1,62,.263
T Battle,2,1,17,.188
I Rojas,1,0,10,.268
J Muniz,3,4,27,.372
F Lizarraga,0,0,0,.000
M DiRosa,2,0,3,.357
B Harman,19,2,102,.305
B McCann,23,12,106,.360
S Williams,1,5,10,.400
J Blaquiere,0,0,1,.250
B Bormaster,0,0,0,.000
S Justis,3,3,22,.456
S Fuld,19,4,106,.422
G Gutierrez,1,0,19,.208
J Cruz,22,5,93,.406
C Strait,36,17,126,.452
Z Zuercher,0,0,0,--
H Tiburcio,6,3,34,.314
C Stewart,17,14,63,.519
A Gaerlan,0,0,0,.000
J Armstrong,1,0,12,.167
P Gentry,14,0,59,.292
J Restko,10,6,80,.350
S Danielson,12,0,100,.303
J Patino,0,0,0,.000
D Majewski,16,7,60,.457
T Evans,10,15,74,.550
J Gaston,0,0,2,.167
K Collins,2,2,7,.306
K Nelson,0,0,0,.000
J Mather,33,16,119,.456
H Hernandez,1,0,6,.368
G Sain,5,2,10,.323
D Nicholson,16,1,103,.366
T Paterson,0,0,1,.125
J Murray,2,2,20,.295
Z Norman,2,1,8,.325
J Winchester,4,2,15,.266
R Crew,11,1,66,.377
I Naccarata,3,1,12,.409
T Parker,4,2,13,.338
C Dunlap,15,14,74,.461
B Key,1,0,3,.250
E Varela,5,1,16,.240
J Taylor,5,0,28,.262
C De La Cruz,3,1,7,.310
C Robinson,24,3,108,.384
J Rohan,4,1,19,.371
A Rosales,8,2,26,.361
N Spears,15,1,79,.308
C Medlin,6,2,35,.296
B Katin,34,13,130,.464
R Harvey,25,20,118,.432
Y Garcia,3,0,7,.313
