SB,3B,H,POS,AB,OPS
1,0,18,3B,68,0.658
0,0,1,C,5,0.6
0,0,1,3B,5,0.533
5,3,72,2B,247,0.801
1,2,54,1B,215,0.733
0,0,0,C,5,0.167
3,3,93,3B,442,0.766
1,0,21,C,122,0.514
3,2,59,C,307,0.633
1,1,24,2B,78,0.684
12,2,108,3B,477,0.666
10,4,134,2B,522,0.68
4,1,43,SS,161,0.803
0,0,6,1B,15,1.004
0,0,2,SS,11,0.364
5,0,50,2B,158,0.721
0,0,12,C,69,0.414
0,0,3,3B,9,0.872
0,0,64,1B,254,0.774
0,0,7,C,35,0.596
1,0,2,2B,14,0.343
5,2,70,3B,276,0.674
0,0,3,C,15,0.65
0,0,5,2B,23,0.786
7,1,104,SS,371,0.733
2,3,55,3B,233,0.915
1,0,5,2B,10,1.1
0,1,6,C,23,0.652
7,4,98,1B,444,0.736
0,0,4,C,36,0.311
4,2,95,C,312,0.78
0,0,0,C,1,0.5
7,1,52,SS,236,0.623
0,0,11,3B,74,0.466
4,0,20,2B,104,0.507
12,1,65,2B,260,0.69
0,0,46,1B,196,0.686
0,1,6,C,27,0.781
0,0,5,3B,35,0.457
12,2,67,3B,265,0.728
18,2,67,3B,264,0.671
8,0,47,2B,183,0.664
1,2,94,3B,277,0.926
0,1,55,C,310,0.542
4,2,155,C,518,0.84
0,1,23,C,78,0.753
2,2,10,3B,53,0.573
0,0,11,C,80,0.433
3,0,137,3B,443,0.844
0,0,23,C,92,0.744
0,0,17,C,69,0.654
3,1,41,SS,201,0.529
0,0,19,C,81,0.635
0,0,6,C,18,0.813
0,0,32,C,108,0.702
12,2,91,SS,405,0.588
0,0,0,C,1,0.0
1,0,23,C,93,0.829
0,0,51,1B,195,0.745
1,0,46,3B,202,0.617
24,2,109,2B,362,0.747
3,0,18,2B,82,0.554
0,1,43,C,197,0.599
0,0,13,2B,69,0.528
0,0,6,3B,17,0.829
1,0,25,3B,113,0.551
0,0,3,1B,24,0.467
0,0,1,C,6,0.619
2,2,57,SS,193,0.719
1,0,35,C,144,0.704
6,0,78,3B,318,0.65
12,6,124,3B,468,0.667
0,0,1,1B,5,0.533
0,0,4,2B,16,0.544
1,0,49,C,183,0.773
0,0,6,C,36,0.411
5,1,71,3B,345,0.573
0,0,33,2B,155,0.512
1,0,56,C,203,0.721
0,0,50,1B,241,0.562
2,0,26,3B,128,0.543
7,1,99,C,342,0.771
0,0,1,C,7,0.286
4,2,80,3B,283,0.771
0,0,0,2B,9,0.0
3,0,26,3B,87,0.793
1,2,138,1B,505,0.818
0,0,15,1B,62,0.641
1,1,31,SS,118,0.693
0,0,14,SS,56,0.633
30,10,160,SS,539,0.719
0,0,20,3B,121,0.479
0,1,65,C,236,0.812
3,0,18,2B,120,0.475
0,0,8,C,25,0.88
26,5,124,2B,489,0.663
0,0,53,C,206,0.668
3,1,54,2B,222,0.704
8,3,71,3B,240,0.825
0,0,0,SS,7,0.125
0,0,1,C,3,0.667
4,3,34,SS,156,0.571
12,4,101,3B,468,0.668
0,0,7,C,32,0.594
5,3,118,SS,451,0.717
2,3,32,SS,173,0.578
1,2,72,C,354,0.603
12,4,116,SS,441,0.663
0,1,16,C,67,0.6
