TRB%,BLK%,ORtg,AST%,TOV%,TS%,Date
24.6,9.7,95,0.0,14.8,.521,2001-03-09
29.1,3.5,136,6.5,12.9,.592,2000-12-09
0.0,8.3,0,0.0,34.7,.000,2001-01-30
0.0,0.0,0,0.0,100.0, ,2001-03-18
15.4,0.0,82,0.0,9.4,.311,2000-11-20
9.3,7.8,0,0.0,33.3,.000,2001-03-14
18.0,0.0,63,0.0,20.0,.250,2001-01-27
17.2,8.7,127,0.0,0.0,.600,2001-02-01
20.2,4.8,73,0.0,0.0,.000,2001-04-05
14.5,0.0,107,15.3,0.0,.400,2001-03-29
16.5,5.7,82,0.0,14.5,.340,2001-01-17
14.7,14.1,121,0.0,25.0,.667,2001-03-05
28.8,0.0,71,0.0,53.2,.568,2001-02-22
8.1,7.8,87,5.2,30.4,.654,2001-03-24
14.8,8.7,88,0.0,0.0,.266,2000-12-26
14.3,11.4,16,0.0,25.0,.000,2001-03-11
2.5,7.1,163,0.0,0.0,.820,2001-01-29
27.4,7.2,106,0.0,13.7,.396,2001-02-14
19.7,12.0,142,0.0,7.2,.699,2001-03-02
8.1,0.0,25,16.2,100.0, ,2000-11-04
26.0,3.4,137,0.0,0.0,.500,2001-04-01
17.1,0.0,120,0.0,30.1,.862,2000-11-10
16.7,4.4,92,0.0,14.5,.425,2000-12-16
16.7,20.9,53,0.0,25.4,.255,2000-12-11
23.4,0.0,91,7.0,26.6,.362,2000-10-31
11.9,0.0,99,0.0,0.0,.532,2001-04-13
26.8,4.4,61,8.2,20.0,.000,2001-02-13
22.5,3.4,97,0.0,29.6,.525,2000-12-13
21.1,10.7,92,0.0,25.0,.333,2000-12-22
27.3,7.0,166,0.0,0.0,.868,2000-11-16
20.2,8.3,201,0.0,0.0,1.000,2001-04-17
11.9,10.7,116,9.5,0.0,.451,2001-03-26
9.2,7.5,75,0.0,25.0,.500,2000-11-28
6.3,8.3,207,0.0,0.0,1.000,2001-03-20
8.3,5.4,111,0.0,31.6,.810,2000-12-20
33.0,7.5,164,9.0,0.0,.750,2001-03-30
33.7,10.0,78,9.1,15.5,.184,2001-01-09
6.7,7.6,118,0.0,10.2,.685,2001-03-04
9.9,3.4,122,0.0,0.0,.571,2000-11-22
9.5,6.6,85,0.0,0.0,.338,2001-01-13
10.0,0.0,0,0.0,0.0,.000,2001-01-06
8.5,3.9,11,8.7,25.8,.000,2001-01-03
28.3,20.8,125,0.0,20.0,.750,2001-02-28
16.8,9.2,144,5.6,13.9,.806,2001-01-21
41.0,0.0,108,0.0,10.4,.405,2001-04-15
