G,Tm,TRB%,TS%,DRB%
10,IND,27.8,.333,36.0
6,IND,0.0,.250,0.0
33,IND,5.1,.333,0.0
7,IND,10.9,.694,20.4
53,IND,0.0,.820,0.0
18,IND,0.0,.750,0.0
51,IND,0.0, ,0.0
43,IND,6.7,.735,0.0
12,IND,11.9,.347,0.0
56,IND,8.1,.578,3.9
31,IND,8.3,.258,8.8
14,IND,0.0,.608,0.0
42,IND,0.0, ,0.0
48,IND,10.0,1.250,17.0
34,IND,13.8,.798,19.0
2,IND,8.4,.311,7.6
40,IND,0.0,.000,0.0
32,IND,9.1,.800,0.0
39,IND,6.8,.466,6.2
28,IND,10.6,.500,19.9
22,IND,10.5,.000,11.3
47,IND,0.0,.000,0.0
26,IND,4.8,.667,0.0
23,IND,26.4,1.000,18.0
45,IND,8.1,.333,0.0
13,IND,4.5,.680,10.0
36,IND,11.4,.509,5.9
52,IND,16.7,.955,0.0
3,IND,0.0, ,0.0
