Game Date,Team,Opp,Result,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB,SH,SF,GDP,C-G#,Notes
1984-07-18,SLN,SFN,W 8-4 vs SFN,5,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"1st career game, 1st career hit, 1st career RBI"
1984-07-27,SLN,PIT,W 3-2 @PIT,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4 hits
1984-07-28,SLN,PIT,W 5-1 @PIT,4,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,10,1st career stolen base
1984-08-22,SLN,CIN,W 6-3 @CIN,4,1,1,0,0,1,2,0,0,0,2,0,0,0,0,0,33,1st career home run
1984-09-20,SLN,MON,W 3-2 vs MON,4,1,4,1,0,0,1,1,0,0,0,0,0,0,0,0,60,4 hits
1986-08-08,SLN,PIT,W 3-1 vs PIT,4,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,322,4 hits
1986-09-03,SLN,ATL,W 5-3 @ATL,4,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,348,4 hits
1987-05-08,SLN,LAN,W 5-1 @LAN,3,1,1,0,0,0,2,0,0,0,0,0,0,0,2,0,401,2 sacrifice flies
1987-08-29,SLN,ATL,W 4-2 vs ATL,3,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,500,500th career game
1987-09-20,SLN,CHN,W 10-2 vs CHN,5,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,520,4 hits
1988-08-19,SLN,CIN,W 10-4 vs CIN,4,3,4,1,0,0,2,0,1,0,0,0,0,0,0,0,620,4 hits
1989-07-08,SLN,SFN,L 5-8 vs SFN,5,1,4,1,0,1,2,0,0,0,0,0,0,0,0,0,725,4 hits
1989-07-20,SLN,SDN,W 7-1 @SDN,5,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,734,4 hits
1989-08-15,SLN,ATL,W 9-1 vs ATL,4,2,4,2,0,1,2,0,0,0,0,0,0,0,0,0,761,4 hits
1990-06-26,SLN,NYN,L 6-8 vs NYN,6,2,5,1,0,0,2,0,0,0,1,0,0,0,0,0,864,5 hits
1991-04-21,ATL,CIN,W 3-2 vs CIN,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,935,100th career stolen base
1991-06-20,ATL,NYN,L 7-9 vs NYN,4,2,2,0,0,2,3,0,0,0,1,0,0,0,0,0,981,2 home runs
1991-06-26,ATL,HOU,W 3-2 @HOU,4,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,986,4 hits
1991-07-13,ATL,SLN,W 10-5 vs SLN,4,1,1,0,0,1,3,0,0,0,1,0,0,0,0,0,1000,1000th career game
1991-07-16,ATL,CHN,W 8-5 vs CHN,5,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1003,4 hits
1991-08-04,ATL,SDN,W 9-7 vs SDN,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1020,1000th career hit
1991-08-06,ATL,SFN,W 10-6 vs SFN,4,4,4,1,0,2,4,0,0,0,0,0,0,0,0,0,1022,"2 home runs, 4 runs scored, 4 hits, 500th career RBI"
1991-08-21,ATL,CIN,W 10-9 @CIN,5,2,4,0,0,0,1,1,0,2,1,0,0,0,0,0,1037,4 hits
1991-10-01,ATL,CIN,W 7-6 @CIN,5,1,4,0,0,1,2,0,0,0,0,0,0,0,0,0,1076,4 hits
1992-04-20,ATL,SDN,W 10-4 @SDN,4,0,3,2,0,0,6,0,1,0,0,0,0,0,1,0,1093,6 RBIs
1993-05-14,ATL,PHI,W 10-7 vs PHI,5,3,4,2,0,0,3,0,0,0,0,0,0,0,0,0,1275,4 hits
1993-06-14,ATL,NYN,L 4-7 vs NYN,5,1,4,0,0,1,1,0,0,0,1,0,0,0,0,0,1303,4 hits
1993-09-12,ATL,SDN,L 4-5 @SDN,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1382,100th career home run
1993-09-21,ATL,MON,W 18-5 @MON,4,2,2,0,0,2,4,0,0,0,0,0,0,0,0,0,1389,2 home runs
1993-10-01,ATL,COL,W 7-4 vs COL,4,1,2,0,0,1,5,0,0,0,1,0,0,0,0,0,1398,5 RBIs
1994-04-15,ATL,CHN,W 19-5 @CHN,5,1,4,1,0,1,4,0,0,1,0,0,0,0,0,0,1411,4 hits
1995-05-20,FLO,ATL,L 7-8 @ATL,5,1,2,0,0,1,3,0,0,1,0,0,0,0,0,0,1500,1500th career game
1995-05-29,FLO,HOU,W 9-7 vs HOU,5,2,5,1,1,0,1,0,0,0,0,0,0,0,0,0,1508,5 hits
1995-07-03,FLO,SDN,W 5-2 vs SDN,4,1,3,0,0,1,5,0,0,0,0,0,0,0,0,0,1534,5 RBIs
1995-08-27,FLO,HOU,W 10-2 vs HOU,5,1,2,1,0,1,5,0,0,0,0,0,0,0,0,0,1581,5 RBIs
1996-05-11,FLO,COL,W 11-0 vs COL,4,2,3,0,0,1,5,0,0,0,1,0,0,0,0,0,1646,5 RBIs
1996-06-07,FLO,NYN,W 12-2 @NYN,4,1,4,2,0,0,2,0,0,0,0,0,0,0,0,0,1667,4 hits
1996-07-15,FLO,HOU,W 15-5 vs HOU,5,2,4,0,1,0,2,0,0,1,0,0,0,0,0,0,1697,4 hits
1996-09-14,ATL,NYN,L 5-6 @NYN,5,3,5,1,0,0,0,1,0,1,0,0,0,0,0,0,1750,5 hits
1996-09-17,ATL,HOU,W 5-4 vs HOU,1,1,0,0,0,0,0,1,0,4,1,0,0,0,0,0,1753,4 walks
