Team,3B,HR,H
BEL,0,0,42
FW,0,0,19
BUR,0,2,34
WIS,4,4,108
DAY,0,5,39
LAN,1,3,89
FW,0,0,18
BUR,0,1,87
CLI,3,3,122
DAY,0,1,29
PEO,0,2,88
CLI,0,1,12
WIS,2,0,32
WM,0,3,50
WIS,2,6,51
BEL,0,4,34
LAN,0,0,9
LAN,1,3,74
SB,0,6,59
KC,1,2,82
LAN,1,10,72
FW,0,10,126
BUR,0,1,1
PEO,0,0,2
DAY,0,2,23
FW,0,0,4
PEO,0,0,10
QC,0,0,7
CLI,2,0,48
PEO,0,2,26
BUR,2,5,93
SWM,0,0,48
CR,4,7,118
LAN,1,11,107
WIS,0,0,2
PEO,0,0,3
BUR,5,3,92
BUR,0,1,41
DAY,5,7,118
CR,1,2,55
SB,2,5,97
WIS,6,3,93
WIS,1,0,15
FW,1,0,7
SWM,0,4,36
BUR,1,0,8
BEL,4,3,106
BUR,0,0,32
CR,8,6,95
DAY,1,0,4
BEL,0,0,13
FW,0,3,37
QC,2,1,33
BEL,2,2,49
CR,1,1,124
KC,0,1,49
WIS,0,0,65
WIS,3,5,43
WIS,0,4,51
CR,0,13,94
WIS,1,1,74
SWM,1,3,57
SWM,2,1,20
WM,2,3,40
QC,3,15,64
QC,0,0,48
