TRB%,Age,eFG%,TOV%,Rk,Opp,ORB%,GS,DRtg
13.5,37-131,.333,0.0,16,SEA,27.9,0,115
0.0,37-136, , ,18,GSW,0.0,0,113
11.6,37-161,.000,0.0,25,ORL,22.3,0,118
0.0,37-209, , ,48,TOR,0.0,0,117
0.0,37-163,1.000,0.0,26,SEA,0.0,0,125
17.2,37-175, , ,31,WSB,37.2,0,128
0.0,37-185,1.000,0.0,36,MIL,0.0,0,99
0.0,37-146, ,100.0,21,IND,0.0,0,118
18.1,37-203,1.000,15.1,45,CHI,15.4,0,120
15.6,37-197,.400,13.7,41,ATL,6.2,0,85
9.6,37-128,.000,50.0,15,LAL,0.0,0,100
11.3,37-050,.000,0.0,4,MIA,4.7,0,103
31.6,37-183,.000,25.0,35,DET,22.9,0,121
6.1,37-156,.250,0.0,23,CLE,0.0,0,131
19.0,37-201,.500,20.0,44,DET,0.0,0,113
